Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
TSM,12,10,7,11,2,2,1,3,0,0,12,13,73
FNATIC,1,2,3,9,12,18,2,3,2,7,0,2,61
ROC,2,1,1,3,2,10,1,8,12,12,2,0,54
Zesty Besties,1,7,12,15,0,0,3,4,1,5,1,0,49
Dory,3,2,9,5,2,2,2,0,0,2,9,7,43
BacalhauV2,4,2,5,0,1,0,9,5,7,1,7,2,43
F9 Eicar,7,0,0,0,0,2,12,4,5,6,3,0,39
Vcan,1,0,1,3,9,5,1,2,1,4,4,8,39
REALIZE NOVA,1,3,0,0,7,5,1,3,3,1,5,9,38
ENVY,9,5,2,3,3,4,0,5,2,3,0,1,37
TIE,2,5,2,0,5,1,0,0,9,8,1,2,35
Forbidden,1,2,0,3,1,6,3,4,4,4,1,3,32
Nibble Africa,3,4,1,0,4,4,5,5,2,1,0,0,29
Source Gaming,0,0,2,0,1,1,7,4,3,1,0,3,22
Kakkoii,2,4,4,0,0,0,0,2,1,1,3,4,21
HAO,5,4,1,2,1,0,2,0,1,0,2,2,20
ATLAS,0,3,3,1,1,1,4,0,0,0,1,3,17
Pensioners,0,0,0,0,3,0,1,1,0,0,1,0,6
Banh Mi,0,0,1,0,0,0,0,1,1,0,2,1,6
