Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
LG,2,0,12,22,12,14,12,14,0,0,7,2,97
Virtus.pro,7,3,0,0,2,11,3,7,5,1,9,18,66
NOEZ FOXX,9,8,2,6,1,0,9,7,1,2,3,10,58
Legion Gaming,3,3,4,8,5,8,0,1,7,8,0,0,47
Unleash,4,3,3,0,3,0,2,5,2,2,12,9,45
SGB,12,5,2,1,7,3,1,0,9,3,1,0,44
DXAEsports,5,2,5,1,1,3,2,0,12,4,5,1,41
F.W.G,1,8,7,1,1,0,7,4,3,7,1,0,40
EXO Clan,0,0,9,8,2,3,1,0,1,9,1,0,34
RTS,3,2,3,2,2,0,5,5,2,1,4,2,31
O2esports,1,0,1,3,3,3,4,5,2,3,2,3,30
SOTEN,1,5,0,0,4,4,1,5,3,4,2,1,30
Team Nemesis,2,1,1,0,9,4,1,0,1,0,1,2,22
No Surrender,0,1,2,2,0,0,2,0,1,0,2,3,13
Most Hated,1,0,0,0,0,0,1,5,0,0,3,2,12
Oxygen None arEa,2,2,1,0,1,1,3,0,1,1,0,0,12
Virtue,0,3,1,0,0,0,0,0,4,2,1,0,11
RIDDLE ORDER,1,0,1,0,1,0,0,0,0,0,0,0,3
