Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Falcons,29,7,5,26,28,3,98
FUSION,5,3,17,13,1,23,62
OMiT,11,10,8,2,14,8,53
DeeSports,7,22,1,3,5,12,50
LEAVENOWITNESS,8,5,13,3,12,7,48
Team Orchid,6,0,22,11,0,4,43
CCG,1,17,2,10,2,3,35
GaiminGladiators,15,0,0,4,6,10,35
Arneb,3,1,8,2,8,11,33
REIGNITE,2,8,7,4,6,6,33
Infinite,2,14,0,2,12,1,31
RRX,10,2,9,0,1,9,31
MFei,6,4,6,3,3,5,27
Reply Totem,1,0,2,15,7,1,26
KoikeGaming,0,4,5,0,1,12,22
oiled thunder,3,2,0,5,9,3,22
REDRams,3,6,0,4,0,0,13
Purple Slushee,0,6,2,1,1,0,10
OutSide,0,0,4,5,1,0,10
Bored,1,0,4,0,1,0,6
