Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Alliance,1,5,1,11,5,15,2,5,3,10,1,5,64
TAKE FLYTE,0,3,0,0,1,1,7,11,12,3,7,7,52
9Lies Esports,4,10,2,2,2,3,12,10,0,0,1,1,47
GHS BoooM,12,16,0,1,3,6,2,5,1,0,0,0,46
Rival Esports,9,5,4,9,2,1,0,0,2,4,4,6,46
Aurora,5,3,3,7,4,5,3,3,4,4,2,3,46
Complexity,2,4,12,9,3,0,0,0,5,4,3,2,44
ICIGEKI,1,1,2,0,7,9,9,6,1,1,3,2,42
Bearclaw Gaming,2,1,2,2,1,0,5,1,9,10,5,3,41
DeepCrossGaming,1,0,1,0,0,0,2,6,3,3,12,10,38
talented,0,0,9,5,9,3,4,0,0,0,2,1,33
Corinthians E.,7,2,1,2,2,2,1,0,0,7,2,4,30
BPR,0,1,1,2,12,9,0,0,1,1,0,0,27
MOVISTAR KOI,3,1,3,4,1,1,1,0,1,0,1,6,22
LICS ONIRIA,3,6,0,0,0,0,1,2,2,6,1,0,21
MetaTensei,0,0,1,0,1,1,1,0,7,0,9,0,20
FC logic,2,1,7,1,0,0,3,4,0,0,0,2,20
TEQWING,1,0,5,4,1,0,0,0,1,1,1,4,18
Rukus,1,0,0,0,0,0,1,1,2,1,0,3,9
