Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
VG,12,14,5,8,12,6,12,9,12,6,7,3,106
Annex eSports,1,1,2,0,9,6,0,0,0,4,12,9,44
Ronin,1,3,1,7,2,6,0,0,3,15,0,3,41
DOOM,5,4,1,1,1,0,0,0,4,3,9,12,40
Unreal Nightmare,3,4,12,10,1,3,0,1,0,0,1,2,37
geeked vs locked,0,0,0,0,0,2,5,6,7,12,1,4,37
7T,7,3,4,2,2,3,1,0,9,5,0,1,37
TEMPR,0,1,0,0,4,9,9,7,1,0,4,1,36
Gamblers,2,4,7,5,0,1,3,2,2,6,2,2,36
ENTER FORCE.36,1,7,3,2,1,3,2,3,1,8,3,2,36
eternal,4,1,0,4,0,5,3,9,1,2,5,1,35
VCGO,1,1,9,7,3,5,1,0,5,1,1,0,34
GUPPED UP,9,4,1,4,5,2,1,2,0,0,3,2,33
Specter Esports,2,6,0,0,7,1,7,2,1,0,1,3,30
Zero Tenacity,3,7,1,1,1,3,2,4,2,0,1,2,27
Remarkable Team,1,2,2,6,0,0,4,4,2,0,0,4,25
CrazyRaccoon,2,6,1,0,3,6,2,4,0,0,0,0,24
CIMJ,0,2,3,0,2,1,1,3,3,0,2,0,17
SJP2,0,0,0,1,1,2,1,1,0,3,2,5,16
CTE,0,0,2,2,0,0,0,0,1,5,0,4,14
