Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
TSM,22,18,4,4,0,25,73
FNATIC,3,12,30,5,9,2,61
ROC,3,4,12,9,24,2,54
Zesty Besties,8,27,0,7,6,1,49
Dory,5,14,4,2,2,16,43
BacalhauV2,6,5,1,14,8,9,43
F9 Eicar,7,0,2,16,11,3,39
Vcan,1,4,14,3,5,12,39
REALIZE NOVA,4,0,12,4,4,14,38
ENVY,14,5,7,5,5,1,37
TIE,7,2,6,0,17,3,35
Forbidden,3,3,7,7,8,4,32
Nibble Africa,7,1,8,10,3,0,29
Source Gaming,0,2,2,11,4,3,22
Kakkoii,6,4,0,2,2,7,21
HAO,9,3,1,2,1,4,20
ATLAS,3,4,2,4,0,4,17
Pensioners,0,0,3,2,0,1,6
Banh Mi,0,1,0,1,1,3,6
