Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Team Orchid,24,4,19,15,24,8,94
100 Thieves,16,17,1,19,1,9,63
Green Stego,9,18,7,7,8,6,55
KINOTROPE gaming,12,2,3,7,11,16,51
CAT,7,11,26,1,4,1,50
FUSION,0,3,7,4,7,17,38
BABO,4,0,7,3,0,21,35
Alqadsiah,7,1,5,8,11,3,35
Meteor,5,9,6,8,4,2,34
Arneb,3,2,11,4,4,6,30
PenguPower,3,13,1,5,1,4,27
Ninjas in Pyjamas,1,1,0,10,12,2,26
DOOM,4,7,2,4,6,2,25
TEMPR,2,10,1,1,1,9,24
Ronin,8,4,0,1,6,1,20
geeked vs locked,2,1,3,6,1,3,16
Remarkable Team,1,4,4,1,4,0,14
ambitionone (A1),1,1,3,0,0,0,5
