Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Falcons,4,12,12,18,5,6,1,2,12,7,7,13,99
Purple Slushee,1,2,1,0,1,3,9,7,5,3,12,7,51
GaiminGladiators,12,12,1,0,7,1,0,0,3,5,2,5,48
REDRams,3,7,0,0,12,11,7,4,1,2,0,0,47
1OK,9,2,9,4,9,2,1,0,2,3,1,3,45
OMiT,5,5,1,4,2,1,2,5,2,5,3,6,41
VVV,0,0,3,10,4,9,3,7,0,0,2,1,39
REIGNITE,1,2,2,0,1,3,12,9,2,3,1,2,38
Lonely Let Gone,1,3,5,3,1,2,1,5,4,2,3,5,35
CCG,7,3,1,0,2,6,5,7,1,0,1,0,33
GUPPED UP,0,0,3,2,0,0,2,0,7,9,5,0,28
ENTER FORCE.36,0,0,2,2,1,3,1,4,3,8,0,4,28
Gamblers,1,0,1,0,1,2,1,1,9,7,1,0,24
RYH,1,2,4,6,0,0,3,3,1,0,2,0,22
WLG,2,1,7,0,0,0,0,0,0,0,9,1,20
CIMJ,2,1,2,0,2,0,4,6,1,0,0,0,18
Annex eSports,3,0,0,0,3,2,2,0,1,0,1,6,18
Nemesis,2,2,0,0,3,2,0,0,0,0,4,0,13
