Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
GHS BoooM,2,31,1,21,1,19,75
9Lies Esports,2,17,17,8,11,7,62
TSM,24,14,3,9,2,2,54
ENVY,1,5,13,5,10,20,54
Aurora,8,1,12,0,26,4,51
FNATIC,16,0,1,20,2,7,46
Complexity,7,5,10,3,8,10,43
Alliance,4,11,16,0,0,10,41
Zesty Besties,4,7,2,4,12,9,38
REALIZE NOVA,2,3,20,3,3,1,32
BacalhauV2,4,3,1,2,14,8,32
Rival Esports,14,3,0,7,1,0,25
ROC,9,0,2,6,3,4,24
DeepCrossGaming,1,7,2,4,0,8,22
Vcan,0,2,0,4,9,2,17
TAKE FLYTE,0,1,8,1,7,0,17
F9 Eicar,4,0,2,3,5,2,16
Dory,4,4,0,6,0,0,14
ICIGEKI,3,1,2,2,0,0,8
Bearclaw Gaming,4,0,0,3,0,0,7
