Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
VG,4,3,12,5,3,6,12,13,1,1,4,0,64
Rival Esports,7,4,1,1,3,2,1,3,7,4,12,8,53
Annex eSports,1,0,9,8,0,1,0,0,12,14,3,2,50
Gamblers,2,7,0,3,0,0,1,5,5,10,9,6,48
Reject Winnity,2,0,7,2,7,6,5,5,4,4,0,3,45
No Surrender,9,9,3,5,1,3,7,3,2,1,0,0,43
7T,0,0,2,5,12,8,2,5,3,4,1,0,42
ENTER FORCE.36,5,10,4,9,0,0,3,2,1,3,1,3,41
Ronin,12,5,5,0,0,1,1,3,1,2,2,5,37
Danish,1,6,1,0,1,1,9,10,0,0,2,5,36
DOOM,2,0,1,0,9,7,1,3,1,0,2,3,29
TEMPR,0,0,1,0,5,3,0,0,2,8,5,5,29
ROC,3,0,2,0,2,0,1,0,2,6,7,5,28
Team Nemesis,3,6,3,3,1,5,2,3,0,0,1,0,27
F9 Eicar,1,0,0,2,2,0,0,0,9,2,3,2,21
Unreal Nightmare,0,0,1,1,0,6,4,1,3,1,1,0,18
geeked vs locked,0,0,2,9,1,0,0,0,1,2,0,2,17
O2esports,0,0,0,0,2,3,2,0,0,1,1,6,15
BBL,1,2,0,0,4,5,0,0,0,0,0,0,12
ICIGEKI,1,1,0,0,1,0,3,2,0,0,0,0,8
