Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Danish,23,25,3,2,4,8,65
Team Nemesis,18,5,9,26,0,0,58
ICIGEKI,10,4,0,18,11,1,44
O2esports,11,19,3,7,0,3,43
F9 Eicar,2,3,14,11,9,2,41
ROC,5,0,2,8,13,13,41
Rival Esports,12,9,0,13,1,6,41
Reject Winnity,2,0,8,1,6,22,39
No Surrender,3,6,3,1,24,0,37
BBL,3,0,25,3,0,5,36
SOTEN,0,12,4,1,1,16,34
Bearclaw Gaming,7,5,2,0,8,8,30
BacalhauV2,0,12,9,1,2,5,29
TAKE FLYTE,4,1,7,1,9,4,26
Vcan,0,1,7,7,10,0,25
Pioneers,2,5,3,7,0,8,25
DeepCrossGaming,2,0,10,0,10,1,23
Dory,5,2,2,4,3,4,20
Virtue,2,3,0,4,2,3,14
RIDDLE ORDER,1,5,0,2,1,1,10
