Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
eternal,1,18,14,8,4,27,72
VCGO,23,4,1,21,17,2,68
Twisted Minds,20,14,0,4,11,7,56
VG,12,11,13,7,9,2,54
Zero Tenacity,8,7,10,9,4,10,48
Liquid Alienware,2,11,20,5,5,3,46
Specter Esports,8,5,1,4,21,0,39
7T,1,0,12,10,12,2,37
S8UL,12,13,4,3,0,3,35
YungBlackRicky,2,0,6,11,2,13,34
oiled thunder,4,0,5,16,2,3,30
Infinite,8,2,2,3,1,14,30
Bored,1,3,0,3,11,4,22
Aquarium,3,0,5,5,1,8,22
KoikeGaming,0,6,6,0,6,0,18
RRX,4,4,0,0,0,6,14
COBAZA,1,2,5,1,1,2,12
MFei,0,4,6,0,0,1,11
STRIDERZ,0,3,1,0,2,3,9
