Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Forbidden,1,3,7,4,3,5,3,2,12,20,9,5,74
Source Gaming,12,10,4,7,3,4,1,1,1,5,12,6,66
Corinthians E.,0,0,9,8,2,5,4,10,1,1,4,17,61
MOVISTAR KOI,2,6,12,18,2,8,1,6,0,0,2,3,60
MetaTensei,1,1,1,0,12,4,12,5,9,3,7,0,55
ATLAS,3,4,2,2,1,0,7,5,3,4,5,4,40
Rukus,9,2,1,2,4,2,2,2,5,6,3,1,39
BPR,1,1,1,4,9,11,1,4,1,0,1,3,37
Kakkoii,1,5,3,7,1,3,1,3,0,5,1,3,33
HAO,0,0,3,0,7,7,3,3,2,0,3,4,32
TIE,2,1,1,0,1,0,9,11,3,1,1,0,30
LICS ONIRIA,0,0,2,0,2,4,5,4,2,2,1,7,29
talented,7,5,0,1,0,0,2,2,7,1,2,0,27
FC logic,5,7,5,0,1,0,0,0,4,3,2,0,27
Pensioners,4,2,0,0,5,2,2,3,0,0,1,0,19
Nibble Africa,3,3,1,1,0,0,0,0,2,2,0,2,14
TEQWING,2,0,2,0,1,0,1,0,1,1,0,0,8
Banh Mi,1,2,0,0,0,0,0,0,1,0,0,0,4
