Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
FURIA,9,11,9,13,4,4,7,14,1,2,12,12,98
NRG,12,10,2,4,3,10,0,0,12,13,3,11,80
Natus Vincere,3,5,12,10,12,15,0,0,3,6,5,2,73
SJP2,1,2,0,3,0,0,1,5,4,7,9,22,54
VK GAMING,3,1,4,1,5,2,5,4,9,11,0,0,45
Unreal Nightmare,1,0,5,8,7,7,1,2,2,1,1,2,37
CrazyRaccoon,0,1,3,3,1,2,12,8,0,0,4,2,36
Twerkaholics,2,9,2,2,1,5,2,4,1,2,1,2,33
CTE,1,2,1,2,1,3,9,10,1,0,0,0,30
Monster,7,3,3,1,2,3,1,0,1,1,7,1,30
Activist YOTTA,5,2,0,0,2,0,4,1,7,1,3,2,27
Never On Time,0,0,7,6,1,1,2,3,0,2,2,3,27
ORB GARDEN,0,1,2,0,9,4,3,0,2,3,2,1,27
GROW Gaming,2,9,1,1,0,0,1,3,0,0,1,2,20
Reply Totem,0,0,1,0,0,0,0,0,5,8,2,0,16
LEAVENOWITNESS,4,2,0,1,3,0,0,0,2,2,1,1,16
3 Muppets,2,0,1,1,1,0,3,0,1,0,0,3,12
Boo,0,0,0,0,2,0,2,2,3,0,0,0,9
OutSide,1,0,1,1,0,2,0,0,0,0,0,3,8
DeeSports,1,0,0,0,0,0,1,0,0,0,1,0,3
