Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
LG,24,8,2,35,4,6,79
MPIRE,4,3,2,20,10,17,56
Virtus.pro,5,14,13,4,18,0,54
NOEZ FOXX,6,22,1,3,6,11,49
FaZe,0,0,16,0,9,17,42
EXO Clan,0,14,8,0,3,16,41
ShopifyRebellion,2,5,12,11,1,8,39
ARU ARMY,0,3,4,2,22,3,34
Team Inferno,9,12,4,1,2,4,32
Unleash,3,2,15,5,3,3,31
SBI e-Sports,7,8,4,0,3,9,31
F.W.G,7,3,7,1,9,4,31
XNY,16,4,0,9,0,0,29
Zone Spammers,8,3,10,6,1,0,28
SGB,14,1,0,2,5,3,25
DXAEsports,2,13,0,6,0,2,23
FLAT,7,0,5,3,4,4,23
HEROEZ,5,1,3,5,4,5,23
RTS,0,0,4,2,9,0,15
Legion Gaming,0,0,0,2,2,0,4
