Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
NRG,9,7,2,8,12,16,1,0,5,5,3,4,72
Twisted Minds,0,2,12,5,0,0,3,3,12,11,12,12,72
VK GAMING,12,10,3,1,1,0,9,8,9,3,2,0,58
Twerkaholics,5,10,0,3,1,11,1,2,2,14,0,2,51
Alliance,0,0,4,8,7,3,2,7,4,9,3,4,51
FNATIC,3,1,1,0,5,1,12,8,1,2,4,1,39
S8UL,2,10,1,1,3,1,1,7,3,3,1,4,37
GHS BoooM,0,0,7,8,1,2,5,4,1,2,1,5,36
FURIA,3,6,1,1,9,8,2,0,0,4,0,0,34
REALIZE NOVA,1,3,5,0,1,0,7,1,7,0,7,2,34
TSM,2,1,9,4,2,1,1,5,0,0,5,3,33
9Lies Esports,0,0,3,5,2,8,0,0,3,5,2,5,33
Complexity,1,1,0,4,4,4,3,2,0,1,9,3,32
Natus Vincere,7,2,2,0,2,0,4,5,1,0,2,2,27
Aurora,1,0,1,1,3,0,1,2,2,0,1,7,19
Liquid Alienware,1,0,0,0,0,0,0,1,2,2,1,9,16
ENVY,4,1,1,3,0,3,0,0,1,2,0,0,15
Zesty Besties,2,2,0,0,1,3,0,4,0,0,0,1,13
YungBlackRicky,0,0,2,0,0,0,2,4,1,1,0,0,10
Monster,1,1,0,0,0,0,0,0,0,0,1,2,5
