Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
LG,18,3,22,8,12,5,68
SR,9,22,1,15,6,11,64
NRG,22,5,8,2,19,4,60
TSM,4,12,15,22,0,6,59
Cloud9,11,8,7,9,14,8,57
FNATIC,15,1,12,7,18,3,56
100T,7,18,5,4,8,13,55
Complexity,3,14,11,12,3,9,52
VK Gaming,16,6,3,6,12,7,50
Virtus.pro,6,9,18,1,5,10,49
FaZe Clan,12,4,6,11,8,6,47
disguised,8,11,4,8,7,7,45
GUILD,5,7,9,5,6,12,44
Meteor,13,2,7,3,10,4,39
Exo Clan,2,13,2,10,4,5,36
SOURCE XNY,10,0,10,0,9,2,31
Oblivion,1,10,0,13,0,1,25
GREEN STEGO,0,0,13,0,8,0,21
shadow3690,0,5,0,7,2,3,17
DRAGONS,4,0,1,0,0,8,13
