Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Infinite,25,1,22,16,2,12,78
LEAVENOWITNESS,13,1,6,24,17,10,71
RRX,10,27,6,2,21,0,66
MFei,2,6,4,11,7,20,50
Bored,6,8,5,15,5,3,42
KoikeGaming,8,9,2,9,4,10,42
Reply Totem,0,13,15,2,9,1,40
OutSide,4,12,14,3,1,4,38
DeeSports,11,0,5,0,5,15,36
oiled thunder,12,4,0,5,8,7,36
GROW Gaming,0,16,16,1,2,0,35
ORB GARDEN,1,11,0,1,0,11,24
Never On Time,9,2,4,1,6,2,24
COBAZA,1,3,3,5,6,5,23
Aquarium,0,2,5,7,4,3,21
Activist YOTTA,4,1,4,2,4,5,20
3 Muppets,3,0,0,4,8,1,16
STRIDERZ,2,3,5,2,1,0,13
Boo,0,1,1,2,0,0,4
