Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Green Stego,13,6,4,5,9,32,69
Meteor,7,13,6,4,12,10,52
VVV,9,5,17,6,12,2,51
BABO,0,1,15,28,0,4,48
Alqadsiah,11,15,12,4,5,1,48
Lonely Let Gone,27,1,8,2,7,0,45
1OK,9,0,6,14,1,15,45
100 Thieves,3,6,5,12,11,3,40
KINOTROPE gaming,4,18,9,0,3,2,36
CAT,3,3,3,5,20,1,35
Falcons,0,6,3,1,12,11,33
GaiminGladiators,2,4,2,9,4,7,28
FUSION,9,6,0,4,3,5,27
CCG,0,15,5,4,0,2,26
Purple Slushee,3,3,3,9,5,3,26
Team Orchid,7,0,0,7,2,8,24
OMiT,5,2,9,3,0,4,23
REIGNITE,0,4,0,1,7,1,13
REDRams,1,2,0,1,3,2,9
Arneb,0,3,1,1,0,0,5
