Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Falcons,4,28,5,13,1,27,78
Team Orchid,16,8,23,2,13,5,67
OMiT,6,15,4,4,34,1,64
XNY,22,0,2,2,8,13,47
GaiminGladiators,0,5,4,22,4,11,46
Arneb,9,0,16,9,7,3,44
F.W.G,3,3,17,8,0,3,34
ATLAS,7,14,4,1,6,0,32
HEROEZ,13,2,0,3,11,3,32
Corinthians E.,1,2,8,12,3,6,32
FLAT,5,4,5,15,0,2,31
FUSION,1,8,11,11,0,0,31
HAO,7,6,3,3,6,4,29
CCG,8,10,1,0,2,5,26
REIGNITE,0,0,1,0,9,12,22
BPR,9,0,7,0,2,4,22
Zone Spammers,4,1,6,3,6,2,22
DeeSports,0,4,0,2,1,9,16
LEAVENOWITNESS,0,2,1,2,2,0,7
SBI e-Sports,2,0,1,0,1,2,6
