Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
NRG,16,10,28,1,10,7,72
Twisted Minds,2,17,0,6,23,24,72
VK GAMING,22,4,1,17,12,2,58
Twerkaholics,15,3,12,3,16,2,51
Alliance,0,12,10,9,13,7,51
FNATIC,4,1,6,20,3,5,39
S8UL,12,2,4,8,6,5,37
GHS BoooM,0,15,3,9,3,6,36
FURIA,9,2,17,2,4,0,34
REALIZE NOVA,4,5,1,8,7,9,34
TSM,3,13,3,6,0,8,33
9Lies Esports,0,8,10,0,8,7,33
Complexity,2,4,8,5,1,12,32
Natus Vincere,9,2,2,9,1,4,27
Aurora,1,2,3,3,2,8,19
Liquid Alienware,1,0,0,1,4,10,16
ENVY,5,4,3,0,3,0,15
Zesty Besties,4,0,4,4,0,1,13
YungBlackRicky,0,2,0,6,2,0,10
Monster,2,0,0,0,0,3,5
