Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Falcons,12,17,2,5,1,4,12,14,12,16,0,3,98
FUSION,2,3,1,2,9,8,2,11,1,0,12,11,62
OMiT,2,9,2,8,1,7,1,1,3,11,2,6,53
DeeSports,7,0,12,10,1,0,2,1,1,4,9,3,50
LEAVENOWITNESS,3,5,5,0,5,8,3,0,9,3,2,5,48
Team Orchid,1,5,0,0,12,10,5,6,0,0,1,3,43
CCG,1,0,9,8,1,1,7,3,2,0,1,2,35
GaiminGladiators,9,6,0,0,0,0,0,4,2,4,7,3,35
Arneb,0,3,1,0,7,1,2,0,5,3,5,6,33
REIGNITE,0,2,1,7,3,4,1,3,2,4,3,3,33
Infinite,2,0,7,7,0,0,1,1,7,5,1,0,31
RRX,5,5,2,0,3,6,0,0,0,1,4,5,31
MFei,4,2,3,1,4,2,1,2,3,0,3,2,27
Reply Totem,1,0,0,0,2,0,9,6,4,3,1,0,26
KoikeGaming,0,0,3,1,2,3,0,0,0,1,2,10,22
oiled thunder,3,0,1,1,0,0,4,1,1,8,1,2,22
REDRams,1,2,1,5,0,0,1,3,0,0,0,0,13
Purple Slushee,0,0,4,2,1,1,0,1,1,0,0,0,10
OutSide,0,0,0,0,2,2,3,2,1,0,0,0,10
Bored,1,0,0,0,0,4,0,0,0,1,0,0,6
