Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Alliance,6,12,20,7,13,6,64
TAKE FLYTE,3,0,2,18,15,14,52
9Lies Esports,14,4,5,22,0,2,47
GHS BoooM,28,1,9,7,1,0,46
Rival Esports,14,13,3,0,6,10,46
Aurora,8,10,9,6,8,5,46
Complexity,6,21,3,0,9,5,44
ICIGEKI,2,2,16,15,2,5,42
Bearclaw Gaming,3,4,1,6,19,8,41
DeepCrossGaming,1,1,0,8,6,22,38
talented,0,14,12,4,0,3,33
Corinthians E.,9,3,4,1,7,6,30
BPR,1,3,21,0,2,0,27
MOVISTAR KOI,4,7,2,1,1,7,22
LICS ONIRIA,9,0,0,3,8,1,21
MetaTensei,0,1,2,1,7,9,20
FC logic,3,8,0,7,0,2,20
TEQWING,1,9,1,0,2,5,18
Rukus,1,0,0,2,3,3,9
