Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Green Stego,3,10,2,4,1,3,1,4,4,5,12,20,69
Meteor,3,4,5,8,2,4,1,3,9,3,7,3,52
VVV,2,7,2,3,12,5,5,1,7,5,1,1,51
BABO,0,0,1,0,7,8,12,16,0,0,1,3,48
Alqadsiah,9,2,7,8,9,3,2,2,1,4,1,0,48
Lonely Let Gone,12,15,0,1,1,7,1,1,1,6,0,0,45
1OK,7,2,0,0,3,3,7,7,1,0,9,6,45
100 Thieves,1,2,0,6,2,3,9,3,3,8,2,1,40
KINOTROPE gaming,4,0,9,9,5,4,0,0,1,2,1,1,36
CAT,1,2,1,2,0,3,2,3,12,8,1,0,35
Falcons,0,0,1,5,1,2,0,1,5,7,5,6,33
GaiminGladiators,1,1,2,2,1,1,3,6,2,2,3,4,28
FUSION,5,4,3,3,0,0,3,1,1,2,4,1,27
CCG,0,0,12,3,4,1,1,3,0,0,2,0,26
Purple Slushee,2,1,1,2,2,1,4,5,2,3,0,3,26
Team Orchid,1,6,0,0,0,0,2,5,2,0,3,5,24
OMiT,2,3,1,1,3,6,0,3,0,0,2,2,23
REIGNITE,0,0,4,0,0,0,0,1,3,4,0,1,13
REDRams,1,0,0,2,0,0,0,1,0,3,0,2,9
Arneb,0,0,3,0,1,0,1,0,0,0,0,0,5
