Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Team Orchid,12,12,3,1,9,10,9,6,12,12,5,3,94
100 Thieves,7,9,9,8,1,0,12,7,1,0,3,6,63
Green Stego,5,4,12,6,3,4,2,5,2,6,1,5,55
KINOTROPE gaming,9,3,1,1,2,1,3,4,7,4,9,7,51
CAT,4,3,2,9,12,14,1,0,2,2,0,1,50
FUSION,0,0,2,1,4,3,2,2,5,2,12,5,38
BABO,1,3,0,0,1,6,0,3,0,0,7,14,35
Alqadsiah,3,4,0,1,2,3,2,6,3,8,1,2,35
Meteor,2,3,3,6,5,1,7,1,2,2,1,1,34
Arneb,2,1,2,0,7,4,3,1,4,0,3,3,30
PenguPower,0,3,5,8,1,0,1,4,1,0,2,2,27
Ninjas in Pyjamas,1,0,1,0,0,0,5,5,9,3,2,0,26
DOOM,3,1,4,3,2,0,1,3,3,3,2,0,25
TEMPR,0,2,7,3,1,0,0,1,0,1,4,5,24
Ronin,2,6,1,3,0,0,1,0,1,5,1,0,20
geeked vs locked,1,1,0,1,0,3,4,2,1,0,1,2,16
Remarkable Team,1,0,1,3,3,1,1,0,1,3,0,0,14
ambitionone (A1),1,0,1,0,1,2,0,0,0,0,0,0,5
