Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
XNY,2,6,3,6,1,4,7,6,3,12,12,12,74
HEROEZ,0,3,12,17,7,8,2,4,1,2,1,4,61
Corinthians E.,2,3,0,1,12,9,1,7,7,8,2,3,55
SBI e-Sports,1,2,5,10,9,5,0,0,12,10,0,0,54
BPR,7,13,2,4,0,1,1,5,3,5,3,3,47
ATLAS,5,0,1,0,0,1,4,4,9,3,7,12,46
Zone Spammers,4,7,7,2,1,2,3,6,5,4,1,3,45
F.W.G,12,12,9,5,1,2,0,0,1,1,0,1,44
FLAT,0,6,1,2,3,9,3,6,1,0,5,4,40
HAO,1,0,4,1,4,3,1,3,0,4,9,8,38
Legion Gaming,9,5,3,7,2,5,1,1,1,3,1,0,38
Forbidden,1,1,1,0,2,6,12,7,0,0,3,1,34
RTS,1,3,2,5,0,0,5,9,2,0,4,1,32
MOVISTAR KOI,2,2,0,0,5,4,0,0,4,4,1,9,31
Rukus,3,4,1,1,2,4,1,0,2,1,2,0,21
Source Gaming,0,1,0,0,1,1,9,4,1,3,0,0,20
MetaTensei,0,0,1,0,1,0,2,0,2,0,2,4,12
SGB,3,0,0,0,3,0,0,0,0,4,0,1,11
Kakkoii,1,0,2,4,0,0,0,0,0,2,1,0,10
DXAEsports,0,0,0,0,0,0,2,0,0,0,0,1,3
