Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Falcons,1,3,12,16,3,2,4,9,1,0,12,15,78
Team Orchid,9,7,5,3,12,11,1,1,7,6,3,2,67
OMiT,1,5,4,11,0,4,1,3,12,22,1,0,64
XNY,12,10,0,0,1,1,0,2,5,3,7,6,47
GaiminGladiators,0,0,2,3,2,2,12,10,1,3,9,2,46
Arneb,5,4,0,0,7,9,5,4,2,5,2,1,44
F.W.G,1,2,1,2,3,14,2,6,0,0,1,2,34
ATLAS,4,3,7,7,4,0,1,0,3,3,0,0,32
HEROEZ,3,10,2,0,0,0,2,1,9,2,3,0,32
Corinthians E.,0,1,1,1,1,7,3,9,1,2,4,2,32
FLAT,2,3,1,3,2,3,9,6,0,0,2,0,31
FUSION,1,0,2,6,9,2,7,4,0,0,0,0,31
HAO,7,0,3,3,2,1,3,0,3,3,2,2,29
CCG,3,5,9,1,1,0,0,0,2,0,1,4,26
REIGNITE,0,0,0,0,0,1,0,0,4,5,5,7,22
BPR,2,7,0,0,0,7,0,0,1,1,0,4,22
Zone Spammers,2,2,1,0,5,1,1,2,2,4,1,1,22
DeeSports,0,0,3,1,0,0,1,1,0,1,1,8,16
LEAVENOWITNESS,0,0,1,1,1,0,2,0,0,2,0,0,7
SBI e-Sports,1,1,0,0,1,0,0,0,1,0,0,2,6
