Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
ShopifyRebellion,12,17,3,5,12,10,1,2,1,4,2,2,71
Team Inferno,2,3,12,12,0,0,2,0,0,0,12,20,63
FaZe,0,1,9,6,9,8,3,10,1,3,5,5,60
ARU ARMY,7,4,7,6,3,4,1,0,5,6,9,6,58
HEROEZ,3,5,3,6,7,5,1,2,9,7,1,2,51
MPIRE,1,1,1,1,1,0,9,7,7,11,7,4,50
XNY,3,4,0,0,2,10,2,0,12,11,0,0,44
FLAT,1,0,5,7,5,5,3,6,3,6,0,0,41
SBI e-Sports,2,0,1,0,2,0,12,14,1,3,1,3,39
Zone Spammers,1,0,2,0,3,5,5,1,2,0,3,5,27
Pioneers,4,0,4,0,1,2,1,2,4,0,4,1,23
Soleil Gaming,9,5,0,0,1,1,1,0,0,0,3,0,20
Danish,0,0,2,0,0,0,4,7,1,1,2,3,20
AAAAAAAAAAHHHHHH,5,6,1,0,2,1,0,0,2,0,0,0,17
BBL,2,3,2,3,0,2,0,0,0,0,1,3,16
GoNext,0,0,1,2,1,0,7,0,1,1,1,2,16
SVP Water,1,0,0,0,4,3,2,0,3,0,2,1,16
Reject Winnity,1,3,1,1,1,0,0,1,2,0,1,2,13
