Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
TSM,22,8,15,3,20,6,74
NRG,12,22,4,18,5,9,70
FNATIC,8,14,22,7,11,4,66
Cloud9,19,3,6,22,8,2,60
SR,5,17,9,11,13,3,58
100T,11,6,12,8,6,14,57
LG,3,11,18,5,12,7,56
Virtus.pro,14,4,8,6,9,12,53
FaZe Clan,7,9,3,14,10,8,51
Complexity,6,12,7,4,7,11,47
disguised,16,0,11,2,4,10,43
VK Gaming,4,15,1,9,3,5,37
GUILD,9,5,5,1,8,6,34
Meteor,2,7,10,12,1,1,33
Exo Clan,10,1,4,0,11,6,32
SOURCE XNY,1,8,2,10,0,9,30
Oblivion,0,2,13,0,5,4,24
GREEN STEGO,13,0,0,5,2,0,20
shadow3690,0,6,0,3,4,2,15
DRAGONS,0,0,6,0,0,7,13
