Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
100 Thieves,17,9,20,32,22,9,109
Alqadsiah,26,11,5,8,10,14,74
Green Stego,12,4,5,8,15,11,55
ShopifyRebellion,5,3,11,4,6,14,43
BABO,5,18,0,4,8,6,41
EXO Clan,5,25,0,1,0,7,38
Meteor,11,0,14,2,4,1,32
1OK,0,1,3,5,1,20,30
ARU ARMY,3,11,6,4,2,4,30
MPIRE,7,0,0,7,11,4,29
FaZe,8,2,8,1,9,0,28
LG,0,1,5,14,5,1,26
KINOTROPE gaming,1,5,1,7,11,0,25
Lonely Let Gone,0,0,13,3,3,4,23
CAT,9,3,4,2,4,1,23
Team Inferno,3,5,7,0,7,0,22
NOEZ FOXX,0,6,4,0,0,10,20
VVV,0,3,8,5,0,4,20
Virtus.pro,1,6,0,1,4,4,16
Unleash,2,0,2,1,1,2,8
