Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Infinite,12,13,1,0,12,10,9,7,1,1,9,3,78
LEAVENOWITNESS,1,12,0,1,2,4,12,12,9,8,3,7,71
RRX,3,7,12,15,2,4,1,1,12,9,0,0,66
MFei,1,1,2,4,1,3,3,8,2,5,12,8,50
Bored,5,1,3,5,1,4,7,8,1,4,1,2,42
KoikeGaming,4,4,5,4,1,1,3,6,1,3,4,6,42
Reply Totem,0,0,9,4,9,6,0,2,3,6,1,0,40
OutSide,1,3,7,5,5,9,0,3,0,1,2,2,38
DeeSports,9,2,0,0,1,4,0,0,2,3,7,8,36
oiled thunder,7,5,1,3,0,0,2,3,7,1,5,2,36
GROW Gaming,0,0,4,12,7,9,0,1,1,1,0,0,35
ORB GARDEN,1,0,3,8,0,0,1,0,0,0,3,8,24
Never On Time,2,7,1,1,3,1,1,0,5,1,1,1,24
COBAZA,1,0,1,2,0,3,2,3,4,2,2,3,23
Aquarium,0,0,2,0,2,3,5,2,2,2,2,1,21
Activist YOTTA,3,1,1,0,4,0,2,0,1,3,1,4,20
3 Muppets,2,1,0,0,0,0,4,0,3,5,1,0,16
STRIDERZ,2,0,2,1,3,2,1,1,0,1,0,0,13
Boo,0,0,0,1,1,0,1,1,0,0,0,0,4
