Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
FURIA,20,22,8,21,3,24,98
NRG,22,6,13,0,25,14,80
Natus Vincere,8,22,27,0,9,7,73
SJP2,3,3,0,6,11,31,54
VK GAMING,4,5,7,9,20,0,45
Unreal Nightmare,1,13,14,3,3,3,37
CrazyRaccoon,1,6,3,20,0,6,36
Twerkaholics,11,4,6,6,3,3,33
CTE,3,3,4,19,1,0,30
Monster,10,4,5,1,2,8,30
Activist YOTTA,7,0,2,5,8,5,27
Never On Time,0,13,2,5,2,5,27
ORB GARDEN,1,2,13,3,5,3,27
GROW Gaming,11,2,0,4,0,3,20
Reply Totem,0,1,0,0,13,2,16
LEAVENOWITNESS,6,1,3,0,4,2,16
3 Muppets,2,2,1,3,1,3,12
Boo,0,0,2,4,3,0,9
OutSide,1,2,2,0,0,3,8
DeeSports,1,0,0,1,0,1,3
