Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
100 Thieves,9,8,5,4,12,8,12,20,12,10,2,7,109
Alqadsiah,12,14,7,4,2,3,3,5,3,7,7,7,74
Green Stego,4,8,1,3,1,4,7,1,9,6,5,6,55
ShopifyRebellion,2,3,0,3,5,6,4,0,3,3,9,5,43
BABO,5,0,12,6,0,0,1,3,2,6,4,2,41
EXO Clan,3,2,9,16,0,0,1,0,0,0,3,4,38
Meteor,7,4,0,0,9,5,2,0,2,2,1,0,32
1OK,0,0,1,0,2,1,3,2,0,1,12,8,30
ARU ARMY,2,1,4,7,4,2,2,2,1,1,0,4,30
MPIRE,1,6,0,0,0,0,5,2,5,6,1,3,29
FaZe,2,6,2,0,3,5,1,0,4,5,0,0,28
LG,0,0,1,0,1,4,9,5,1,4,1,0,26
KINOTROPE gaming,1,0,3,2,0,1,2,5,7,4,0,0,25
Lonely Let Gone,0,0,0,0,7,6,0,3,1,2,2,2,23
CAT,3,6,1,2,1,3,0,2,1,3,1,0,23
Team Inferno,1,2,2,3,2,5,0,0,2,5,0,0,22
NOEZ FOXX,0,0,2,4,1,3,0,0,0,0,2,8,20
VVV,0,0,1,2,3,5,1,4,0,0,1,3,20
Virtus.pro,1,0,3,3,0,0,0,1,1,3,3,1,16
Unleash,1,1,0,0,1,1,1,0,0,1,0,2,8
