Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
O2esports,9,17,9,1,5,16,57
Pioneers,2,1,16,16,11,10,56
Team Nemesis,15,2,5,5,23,4,54
Reject Winnity,19,5,20,0,6,4,54
Danish,4,14,6,11,12,4,51
RIDDLE ORDER,3,2,10,2,4,25,46
SOTEN,14,4,8,10,5,2,43
BBL,3,12,9,1,4,7,36
No Surrender,9,2,1,15,1,6,34
Virtue,1,0,2,18,5,6,32
SVP Water,2,7,2,7,12,2,32
Soleil Gaming,2,18,1,4,4,2,31
Most Hated,7,1,10,6,1,6,31
AAAAAAAAAAHHHHHH,3,5,3,3,9,3,26
GoNext,1,8,3,4,3,3,22
Oxygen None arEa,1,1,0,1,0,0,3
