Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
eternal,1,0,12,6,9,5,2,6,1,3,12,15,72
VCGO,12,11,1,3,1,0,12,9,3,14,2,0,68
Twisted Minds,9,11,9,5,0,0,1,3,3,8,4,3,56
VG,7,5,4,7,7,6,4,3,4,5,2,0,54
Zero Tenacity,1,7,2,5,2,8,3,6,1,3,7,3,48
Liquid Alienware,2,0,7,4,12,8,2,3,2,3,3,0,46
Specter Esports,5,3,3,2,0,1,1,3,12,9,0,0,39
7T,1,0,0,0,5,7,5,5,9,3,1,1,37
S8UL,3,9,5,8,2,2,2,1,0,0,2,1,35
YungBlackRicky,2,0,0,0,3,3,9,2,2,0,9,4,34
oiled thunder,3,1,0,0,3,2,7,9,2,0,3,0,30
Infinite,4,4,1,1,1,1,3,0,1,0,5,9,30
Bored,0,1,1,2,0,0,1,2,7,4,1,3,22
Aquarium,2,1,0,0,2,3,1,4,1,0,1,7,22
KoikeGaming,0,0,3,3,1,5,0,0,5,1,0,0,18
RRX,1,3,2,2,0,0,0,0,0,0,1,5,14
COBAZA,1,0,2,0,1,4,1,0,1,0,0,2,12
MFei,0,0,1,3,4,2,0,0,0,0,0,1,11
STRIDERZ,0,0,1,2,1,0,0,0,0,2,1,2,9
