Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Twerkaholics,9,7,9,20,1,1,0,1,1,9,7,18,83
Natus Vincere,4,4,3,7,12,11,2,4,3,1,3,2,56
FURIA,1,0,2,3,5,3,1,3,12,15,2,4,51
YungBlackRicky,1,2,12,5,2,5,7,2,5,2,5,2,50
NRG,1,0,3,7,7,12,4,1,2,4,3,5,49
S8UL,2,3,4,5,1,2,1,2,7,9,9,4,49
Liquid Alienware,3,4,0,2,0,1,12,19,1,0,2,1,45
Monster,12,6,0,0,1,3,0,0,3,0,12,8,45
Twisted Minds,2,5,2,0,2,2,5,3,4,5,4,4,38
VK GAMING,5,6,0,0,9,5,1,3,1,6,0,0,36
7T,1,5,2,1,2,7,1,1,2,4,0,0,26
CrazyRaccoon,0,0,1,0,4,3,9,8,0,0,0,0,25
Unreal Nightmare,7,4,5,1,1,0,0,0,1,2,1,1,23
CTE,0,0,7,0,3,4,2,2,2,0,0,0,20
Specter Esports,0,0,1,0,0,0,3,1,9,4,1,0,19
VCGO,0,2,1,2,0,1,2,2,1,1,2,4,18
eternal,3,6,0,0,3,0,0,0,0,0,1,3,16
SJP2,1,1,1,0,0,0,3,4,0,0,1,3,14
Zero Tenacity,0,0,0,5,1,3,1,2,0,0,0,2,14
VG,2,1,1,2,0,0,0,0,0,0,1,0,7
