Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Danish,12,11,12,13,0,3,0,2,2,2,2,6,65
Team Nemesis,9,9,1,4,5,4,12,14,0,0,0,0,58
ICIGEKI,7,3,2,2,0,0,7,11,3,8,1,0,44
O2esports,3,8,7,12,1,2,4,3,0,0,1,2,43
F9 Eicar,2,0,3,0,9,5,9,2,7,2,2,0,41
ROC,2,3,0,0,2,0,3,5,9,4,4,9,41
Rival Esports,5,7,4,5,0,0,2,11,1,0,5,1,41
Reject Winnity,0,2,0,0,3,5,1,0,1,5,12,10,39
No Surrender,3,0,5,1,1,2,1,0,12,12,0,0,37
BBL,1,2,0,0,12,13,2,1,0,0,2,3,36
SOTEN,0,0,1,11,1,3,0,1,1,0,9,7,34
Bearclaw Gaming,4,3,2,3,1,1,0,0,3,5,3,5,30
BacalhauV2,0,0,9,3,7,2,1,0,1,1,3,2,29
TAKE FLYTE,1,3,0,1,4,3,1,0,5,4,1,3,26
Vcan,0,0,1,0,2,5,5,2,2,8,0,0,25
Pioneers,1,1,3,2,2,1,3,4,0,0,7,1,25
DeepCrossGaming,0,2,0,0,3,7,0,0,4,6,1,0,23
Dory,2,3,1,1,1,1,0,4,2,1,1,3,20
Virtue,1,1,1,2,0,0,1,3,1,1,0,3,14
RIDDLE ORDER,1,0,2,3,0,0,2,0,0,1,0,1,10
