Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
Annex eSports,12,15,4,4,2,0,7,8,12,18,1,0,83
ENTER FORCE.36,1,3,1,0,12,16,1,3,7,4,3,9,60
DOOM,3,1,9,9,9,1,12,5,5,2,1,0,57
Ronin,1,4,1,6,1,8,2,4,2,4,12,5,50
TEMPR,2,2,12,12,4,3,2,0,2,2,3,1,45
Remarkable Team,9,7,3,7,1,0,1,0,4,1,7,5,45
CIMJ,7,7,2,0,3,3,3,3,3,2,5,6,44
GUPPED UP,2,1,3,2,5,7,3,3,1,1,9,6,43
Gamblers,2,1,7,6,1,0,1,0,9,11,1,1,40
geeked vs locked,5,5,1,0,2,4,2,7,2,4,4,3,39
PenguPower,3,1,2,3,2,6,9,6,1,0,1,0,34
Nemesis,1,0,1,2,7,1,1,0,1,0,2,8,24
WLG,1,0,5,4,1,0,5,3,3,0,2,0,24
Ninjas in Pyjamas,4,3,2,1,1,0,1,1,1,0,1,0,15
RYH,1,0,1,0,3,1,4,0,1,2,0,0,13
ambitionone (A1),0,0,0,1,0,1,0,0,0,2,2,3,9
