Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
XNY,8,9,5,13,15,24,74
HEROEZ,3,29,15,6,3,5,61
Corinthians E.,5,1,21,8,15,5,55
SBI e-Sports,3,15,14,0,22,0,54
BPR,20,6,1,6,8,6,47
ATLAS,5,1,1,8,12,19,46
Zone Spammers,11,9,3,9,9,4,45
F.W.G,24,14,3,0,2,1,44
FLAT,6,3,12,9,1,9,40
HAO,1,5,7,4,4,17,38
Legion Gaming,14,10,7,2,4,1,38
Forbidden,2,1,8,19,0,4,34
RTS,4,7,0,14,2,5,32
MOVISTAR KOI,4,0,9,0,8,10,31
Rukus,7,2,6,1,3,2,21
Source Gaming,1,0,2,13,4,0,20
MetaTensei,0,1,1,2,2,6,12
SGB,3,0,3,0,4,1,11
Kakkoii,1,6,0,0,2,1,10
DXAEsports,0,0,0,2,0,1,3
