Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
VG,7,17,9,25,2,4,64
Rival Esports,11,2,5,4,11,20,53
Annex eSports,1,17,1,0,26,5,50
Gamblers,9,3,0,6,15,15,48
Reject Winnity,2,9,13,10,8,3,45
No Surrender,18,8,4,10,3,0,43
7T,0,7,20,7,7,1,42
ENTER FORCE.36,15,13,0,5,4,4,41
Ronin,17,5,1,4,3,7,37
Danish,7,1,2,19,0,7,36
DOOM,2,1,16,4,1,5,29
TEMPR,0,1,8,0,10,10,29
ROC,3,2,2,1,8,12,28
Team Nemesis,9,6,6,5,0,1,27
F9 Eicar,1,2,2,0,11,5,21
Unreal Nightmare,0,2,6,5,4,1,18
geeked vs locked,0,11,1,0,3,2,17
O2esports,0,0,5,2,1,7,15
BBL,3,0,9,0,0,0,12
ICIGEKI,2,0,1,5,0,0,8
