Team,Rank,Game,Placement,Kills,Points
Falcons,1,1,15,3,4
Falcons,1,2,1,16,28
Falcons,1,3,6,2,5
Falcons,1,4,5,9,13
Falcons,1,5,15,0,1
Falcons,1,6,1,15,27
Team Orchid,2,1,2,7,16
Team Orchid,2,2,4,3,8
Team Orchid,2,3,1,11,23
Team Orchid,2,4,12,1,2
Team Orchid,2,5,3,6,13
Team Orchid,2,6,6,2,5
OMiT,3,1,13,5,6
OMiT,3,2,5,11,15
OMiT,3,3,17,4,4
OMiT,3,4,13,3,4
OMiT,3,5,1,22,34
OMiT,3,6,11,0,1
XNY,4,1,1,10,22
XNY,4,2,18,0,0
XNY,4,3,15,1,2
XNY,4,4,18,2,2
XNY,4,5,4,3,8
XNY,4,6,3,6,13
GaiminGladiators,5,1,19,0,0
GaiminGladiators,5,2,10,3,5
GaiminGladiators,5,3,9,2,4
GaiminGladiators,5,4,1,10,22
GaiminGladiators,5,5,13,3,4
GaiminGladiators,5,6,2,2,11
Arneb,6,1,4,4,9
Arneb,6,2,16,0,0
Arneb,6,3,3,9,16
Arneb,6,4,4,4,9
Arneb,6,5,10,5,7
Arneb,6,6,10,1,3
F.W.G,7,1,11,2,3
F.W.G,7,2,11,2,3
F.W.G,7,3,7,14,17
F.W.G,7,4,9,6,8
F.W.G,7,5,17,0,0
F.W.G,7,6,13,2,3
ATLAS,8,1,5,3,7
ATLAS,8,2,3,7,14
ATLAS,8,3,5,0,4
ATLAS,8,4,15,0,1
ATLAS,8,5,6,3,6
ATLAS,8,6,17,0,0
HEROEZ,9,1,6,10,13
HEROEZ,9,2,9,0,2
HEROEZ,9,3,20,0,0
HEROEZ,9,4,8,1,3
HEROEZ,9,5,2,2,11
HEROEZ,9,6,7,0,3
Corinthians E.,10,1,16,1,1
Corinthians E.,10,2,13,1,2
Corinthians E.,10,3,11,7,8
Corinthians E.,10,4,7,9,12
Corinthians E.,10,5,12,2,3
Corinthians E.,10,6,5,2,6
FLAT,11,1,9,3,5
FLAT,11,2,15,3,4
FLAT,11,3,10,3,5
FLAT,11,4,2,6,15
FLAT,11,5,16,0,0
FLAT,11,6,8,0,2
FUSION,12,1,14,0,1
FUSION,12,2,8,6,8
FUSION,12,3,2,2,11
FUSION,12,4,3,4,11
FUSION,12,5,20,0,0
FUSION,12,6,16,0,0
HAO,13,1,3,0,7
HAO,13,2,6,3,6
HAO,13,3,8,1,3
HAO,13,4,6,0,3
HAO,13,5,7,3,6
HAO,13,6,9,2,4
CCG,14,1,7,5,8
CCG,14,2,2,1,10
CCG,14,3,12,0,1
CCG,14,4,20,0,0
CCG,14,5,9,0,2
CCG,14,6,14,4,5
REIGNITE,15,1,17,0,0
REIGNITE,15,2,20,0,0
REIGNITE,15,3,18,1,1
REIGNITE,15,4,16,0,0
REIGNITE,15,5,5,5,9
REIGNITE,15,6,4,7,12
BPR,16,1,8,7,9
BPR,16,2,19,0,0
BPR,16,3,16,7,7
BPR,16,4,17,0,0
BPR,16,5,14,1,2
BPR,16,6,19,4,4
Zone Spammers,17,1,10,2,4
Zone Spammers,17,2,12,0,1
Zone Spammers,17,3,4,1,6
Zone Spammers,17,4,14,2,3
Zone Spammers,17,5,8,4,6
Zone Spammers,17,6,15,1,2
DeeSports,18,1,20,0,0
DeeSports,18,2,7,1,4
DeeSports,18,3,19,0,0
DeeSports,18,4,11,1,2
DeeSports,18,5,18,1,1
DeeSports,18,6,12,8,9
LEAVENOWITNESS,19,1,18,0,0
LEAVENOWITNESS,19,2,14,1,2
LEAVENOWITNESS,19,3,14,0,1
LEAVENOWITNESS,19,4,10,0,2
LEAVENOWITNESS,19,5,19,2,2
LEAVENOWITNESS,19,6,20,0,0
SBI e-Sports,20,1,12,1,2
SBI e-Sports,20,2,17,0,0
SBI e-Sports,20,3,13,0,1
SBI e-Sports,20,4,19,0,0
SBI e-Sports,20,5,11,0,1
SBI e-Sports,20,6,18,2,2
