Team,Rank,Game,Placement,Kills,Points
Twerkaholics,1,1,2,7,16
Twerkaholics,1,2,2,20,29
Twerkaholics,1,3,14,1,2
Twerkaholics,1,4,20,1,1
Twerkaholics,1,5,11,9,10
Twerkaholics,1,6,3,18,25
Natus Vincere,2,1,5,4,8
Natus Vincere,2,2,7,7,10
Natus Vincere,2,3,1,11,23
Natus Vincere,2,4,8,4,6
Natus Vincere,2,5,6,1,4
Natus Vincere,2,6,6,2,5
FURIA,3,1,14,0,1
FURIA,3,2,8,3,5
FURIA,3,3,4,3,8
FURIA,3,4,15,3,4
FURIA,3,5,1,15,27
FURIA,3,6,9,4,6
YungBlackRicky,4,1,13,2,3
YungBlackRicky,4,2,1,5,17
YungBlackRicky,4,3,8,5,7
YungBlackRicky,4,4,3,2,9
YungBlackRicky,4,5,4,2,7
YungBlackRicky,4,6,4,2,7
NRG,5,1,15,0,1
NRG,5,2,6,7,10
NRG,5,3,3,12,19
NRG,5,4,5,1,5
NRG,5,5,10,4,6
NRG,5,6,7,5,8
S8UL,6,1,10,3,5
S8UL,6,2,5,5,9
S8UL,6,3,12,2,3
S8UL,6,4,13,2,3
S8UL,6,5,3,9,16
S8UL,6,6,2,4,13
Liquid Alienware,7,1,7,4,7
Liquid Alienware,7,2,17,2,2
Liquid Alienware,7,3,16,1,1
Liquid Alienware,7,4,1,19,31
Liquid Alienware,7,5,13,0,1
Liquid Alienware,7,6,10,1,3
Monster,8,1,1,6,18
Monster,8,2,18,0,0
Monster,8,3,11,3,4
Monster,8,4,17,0,0
Monster,8,5,7,0,3
Monster,8,6,1,8,20
Twisted Minds,9,1,9,5,7
Twisted Minds,9,2,9,0,2
Twisted Minds,9,3,10,2,4
Twisted Minds,9,4,4,3,8
Twisted Minds,9,5,5,5,9
Twisted Minds,9,6,5,4,8
VK GAMING,10,1,4,6,11
VK GAMING,10,2,20,0,0
VK GAMING,10,3,2,5,14
VK GAMING,10,4,11,3,4
VK GAMING,10,5,12,6,7
VK GAMING,10,6,17,0,0
7T,11,1,12,5,6
7T,11,2,10,1,3
7T,11,3,9,7,9
7T,11,4,12,1,2
7T,11,5,9,4,6
7T,11,6,19,0,0
CrazyRaccoon,12,1,16,0,0
CrazyRaccoon,12,2,13,0,1
CrazyRaccoon,12,3,5,3,7
CrazyRaccoon,12,4,2,8,17
CrazyRaccoon,12,5,20,0,0
CrazyRaccoon,12,6,20,0,0
Unreal Nightmare,13,1,3,4,11
Unreal Nightmare,13,2,4,1,6
Unreal Nightmare,13,3,15,0,1
Unreal Nightmare,13,4,18,0,0
Unreal Nightmare,13,5,14,2,3
Unreal Nightmare,13,6,14,1,2
CTE,14,1,20,0,0
CTE,14,2,3,0,7
CTE,14,3,6,4,7
CTE,14,4,9,2,4
CTE,14,5,8,0,2
CTE,14,6,16,0,0
Specter Esports,15,1,19,0,0
Specter Esports,15,2,11,0,1
Specter Esports,15,3,17,0,0
Specter Esports,15,4,6,1,4
Specter Esports,15,5,2,4,13
Specter Esports,15,6,12,0,1
VCGO,16,1,17,2,2
VCGO,16,2,15,2,3
VCGO,16,3,19,1,1
VCGO,16,4,10,2,4
VCGO,16,5,15,1,2
VCGO,16,6,8,4,6
eternal,17,1,6,6,9
eternal,17,2,19,0,0
eternal,17,3,7,0,3
eternal,17,4,19,0,0
eternal,17,5,17,0,0
eternal,17,6,13,3,4
SJP2,18,1,11,1,2
SJP2,18,2,14,0,1
SJP2,18,3,18,0,0
SJP2,18,4,7,4,7
SJP2,18,5,16,0,0
SJP2,18,6,11,3,4
Zero Tenacity,19,1,18,0,0
Zero Tenacity,19,2,16,5,5
Zero Tenacity,19,3,13,3,4
Zero Tenacity,19,4,14,2,3
Zero Tenacity,19,5,19,0,0
Zero Tenacity,19,6,18,2,2
VG,20,1,8,1,3
VG,20,2,12,2,3
VG,20,3,20,0,0
VG,20,4,16,0,0
VG,20,5,18,0,0
VG,20,6,15,0,1
