Team,Rank,Game,Placement,Kills,Points
Infinite,1,1,1,13,25
Infinite,1,2,11,0,1
Infinite,1,3,1,10,22
Infinite,1,4,2,7,16
Infinite,1,5,14,1,2
Infinite,1,6,2,3,12
LEAVENOWITNESS,2,1,11,12,13
LEAVENOWITNESS,2,2,18,1,1
LEAVENOWITNESS,2,3,9,4,6
LEAVENOWITNESS,2,4,1,12,24
LEAVENOWITNESS,2,5,2,8,17
LEAVENOWITNESS,2,6,6,7,10
RRX,3,1,6,7,10
RRX,3,2,1,15,27
RRX,3,3,8,4,6
RRX,3,4,13,1,2
RRX,3,5,1,9,21
RRX,3,6,17,0,0
MFei,4,1,15,1,2
MFei,4,2,10,4,6
MFei,4,3,15,3,4
MFei,4,4,7,8,11
MFei,4,5,9,5,7
MFei,4,6,1,8,20
Bored,5,1,4,1,6
Bored,5,2,6,5,8
Bored,5,3,12,4,5
Bored,5,4,3,8,15
Bored,5,5,11,4,5
Bored,5,6,15,2,3
KoikeGaming,6,1,5,4,8
KoikeGaming,6,2,4,4,9
KoikeGaming,6,3,13,1,2
KoikeGaming,6,4,6,6,9
KoikeGaming,6,5,12,3,4
KoikeGaming,6,6,5,6,10
Reply Totem,7,1,17,0,0
Reply Totem,7,2,2,4,13
Reply Totem,7,3,2,6,15
Reply Totem,7,4,16,2,2
Reply Totem,7,5,6,6,9
Reply Totem,7,6,14,0,1
OutSide,8,1,12,3,4
OutSide,8,2,3,5,12
OutSide,8,3,4,9,14
OutSide,8,4,17,3,3
OutSide,8,5,18,1,1
OutSide,8,6,9,2,4
DeeSports,9,1,2,2,11
DeeSports,9,2,16,0,0
DeeSports,9,3,11,4,5
DeeSports,9,4,19,0,0
DeeSports,9,5,8,3,5
DeeSports,9,6,3,8,15
oiled thunder,10,1,3,5,12
oiled thunder,10,2,13,3,4
oiled thunder,10,3,17,0,0
oiled thunder,10,4,9,3,5
oiled thunder,10,5,3,1,8
oiled thunder,10,6,4,2,7
GROW Gaming,11,1,16,0,0
GROW Gaming,11,2,5,12,16
GROW Gaming,11,3,3,9,16
GROW Gaming,11,4,18,1,1
GROW Gaming,11,5,15,1,2
GROW Gaming,11,6,16,0,0
ORB GARDEN,12,1,13,0,1
ORB GARDEN,12,2,7,8,11
ORB GARDEN,12,3,19,0,0
ORB GARDEN,12,4,15,0,1
ORB GARDEN,12,5,16,0,0
ORB GARDEN,12,6,7,8,11
Never On Time,13,1,8,7,9
Never On Time,13,2,15,1,2
Never On Time,13,3,7,1,4
Never On Time,13,4,12,0,1
Never On Time,13,5,4,1,6
Never On Time,13,6,13,1,2
COBAZA,14,1,14,0,1
COBAZA,14,2,12,2,3
COBAZA,14,3,16,3,3
COBAZA,14,4,8,3,5
COBAZA,14,5,5,2,6
COBAZA,14,6,8,3,5
Aquarium,15,1,18,0,0
Aquarium,15,2,9,0,2
Aquarium,15,3,10,3,5
Aquarium,15,4,4,2,7
Aquarium,15,5,10,2,4
Aquarium,15,6,10,1,3
Activist YOTTA,16,1,7,1,4
Activist YOTTA,16,2,14,0,1
Activist YOTTA,16,3,5,0,4
Activist YOTTA,16,4,10,0,2
Activist YOTTA,16,5,13,3,4
Activist YOTTA,16,6,12,4,5
3 Muppets,17,1,10,1,3
3 Muppets,17,2,19,0,0
3 Muppets,17,3,18,0,0
3 Muppets,17,4,5,0,4
3 Muppets,17,5,7,5,8
3 Muppets,17,6,11,0,1
STRIDERZ,18,1,9,0,2
STRIDERZ,18,2,8,1,3
STRIDERZ,18,3,6,2,5
STRIDERZ,18,4,14,1,2
STRIDERZ,18,5,17,1,1
STRIDERZ,18,6,19,0,0
Boo,19,1,19,0,0
Boo,19,2,17,1,1
Boo,19,3,14,0,1
Boo,19,4,11,1,2
Boo,19,5,19,0,0
Boo,19,6,18,0,0
