Team,Rank,Game,Placement,Kills,Points
eternal,1,1,12,0,1
eternal,1,2,1,6,18
eternal,1,3,2,5,14
eternal,1,4,10,6,8
eternal,1,5,12,3,4
eternal,1,6,1,15,27
VCGO,2,1,1,11,23
VCGO,2,2,13,3,4
VCGO,2,3,12,0,1
VCGO,2,4,1,9,21
VCGO,2,5,6,14,17
VCGO,2,6,9,0,2
Twisted Minds,3,1,2,11,20
Twisted Minds,3,2,2,5,14
Twisted Minds,3,3,16,0,0
Twisted Minds,3,4,15,3,4
Twisted Minds,3,5,7,8,11
Twisted Minds,3,6,5,3,7
VG,4,1,3,5,12
VG,4,2,5,7,11
VG,4,3,3,6,13
VG,4,4,5,3,7
VG,4,5,5,5,9
VG,4,6,10,0,2
Zero Tenacity,5,1,11,7,8
Zero Tenacity,5,2,8,5,7
Zero Tenacity,5,3,9,8,10
Zero Tenacity,5,4,7,6,9
Zero Tenacity,5,5,15,3,4
Zero Tenacity,5,6,3,3,10
Liquid Alienware,6,1,8,0,2
Liquid Alienware,6,2,3,4,11
Liquid Alienware,6,3,1,8,20
Liquid Alienware,6,4,8,3,5
Liquid Alienware,6,5,10,3,5
Liquid Alienware,6,6,7,0,3
Specter Esports,7,1,4,3,8
Specter Esports,7,2,7,2,5
Specter Esports,7,3,17,1,1
Specter Esports,7,4,12,3,4
Specter Esports,7,5,1,9,21
Specter Esports,7,6,18,0,0
7T,8,1,15,0,1
7T,8,2,18,0,0
7T,8,3,4,7,12
7T,8,4,4,5,10
7T,8,5,2,3,12
7T,8,6,14,1,2
S8UL,9,1,6,9,12
S8UL,9,2,4,8,13
S8UL,9,3,8,2,4
S8UL,9,4,9,1,3
S8UL,9,5,16,0,0
S8UL,9,6,8,1,3
YungBlackRicky,10,1,10,0,2
YungBlackRicky,10,2,17,0,0
YungBlackRicky,10,3,7,3,6
YungBlackRicky,10,4,2,2,11
YungBlackRicky,10,5,9,0,2
YungBlackRicky,10,6,2,4,13
oiled thunder,11,1,7,1,4
oiled thunder,11,2,19,0,0
oiled thunder,11,3,6,2,5
oiled thunder,11,4,3,9,16
oiled thunder,11,5,8,0,2
oiled thunder,11,6,6,0,3
Infinite,12,1,5,4,8
Infinite,12,2,14,1,2
Infinite,12,3,14,1,2
Infinite,12,4,6,0,3
Infinite,12,5,14,0,1
Infinite,12,6,4,9,14
Bored,13,1,19,1,1
Bored,13,2,15,2,3
Bored,13,3,19,0,0
Bored,13,4,11,2,3
Bored,13,5,3,4,11
Bored,13,6,12,3,4
Aquarium,14,1,9,1,3
Aquarium,14,2,16,0,0
Aquarium,14,3,10,3,5
Aquarium,14,4,14,4,5
Aquarium,14,5,11,0,1
Aquarium,14,6,13,7,8
KoikeGaming,15,1,18,0,0
KoikeGaming,15,2,6,3,6
KoikeGaming,15,3,11,5,6
KoikeGaming,15,4,17,0,0
KoikeGaming,15,5,4,1,6
KoikeGaming,15,6,19,0,0
RRX,16,1,14,3,4
RRX,16,2,9,2,4
RRX,16,3,18,0,0
RRX,16,4,18,0,0
RRX,16,5,19,0,0
RRX,16,6,11,5,6
COBAZA,17,1,13,0,1
COBAZA,17,2,10,0,2
COBAZA,17,3,13,4,5
COBAZA,17,4,13,0,1
COBAZA,17,5,13,0,1
COBAZA,17,6,17,2,2
MFei,18,1,16,0,0
MFei,18,2,12,3,4
MFei,18,3,5,2,6
MFei,18,4,19,0,0
MFei,18,5,18,0,0
MFei,18,6,16,1,1
STRIDERZ,19,1,17,0,0
STRIDERZ,19,2,11,2,3
STRIDERZ,19,3,15,0,1
STRIDERZ,19,4,16,0,0
STRIDERZ,19,5,17,2,2
STRIDERZ,19,6,15,2,3
