Team,Rank,Game,Placement,Kills,Points
NRG,1,1,2,7,16
NRG,1,2,8,8,10
NRG,1,3,1,16,28
NRG,1,4,12,0,1
NRG,1,5,4,5,10
NRG,1,6,6,4,7
Twisted Minds,2,1,16,2,2
Twisted Minds,2,2,1,5,17
Twisted Minds,2,3,18,0,0
Twisted Minds,2,4,6,3,6
Twisted Minds,2,5,1,11,23
Twisted Minds,2,6,1,12,24
VK GAMING,3,1,1,10,22
VK GAMING,3,2,6,1,4
VK GAMING,3,3,12,0,1
VK GAMING,3,4,2,8,17
VK GAMING,3,5,2,3,12
VK GAMING,3,6,8,0,2
Twerkaholics,4,1,4,10,15
Twerkaholics,4,2,17,3,3
Twerkaholics,4,3,13,11,12
Twerkaholics,4,4,15,2,3
Twerkaholics,4,5,9,14,16
Twerkaholics,4,6,17,2,2
Alliance,5,1,20,0,0
Alliance,5,2,5,8,12
Alliance,5,3,3,3,10
Alliance,5,4,8,7,9
Alliance,5,5,5,9,13
Alliance,5,6,7,4,7
FNATIC,6,1,7,1,4
FNATIC,6,2,12,0,1
FNATIC,6,3,4,1,6
FNATIC,6,4,1,8,20
FNATIC,6,5,12,2,3
FNATIC,6,6,5,1,5
S8UL,7,1,8,10,12
S8UL,7,2,13,1,2
S8UL,7,3,6,1,4
S8UL,7,4,11,7,8
S8UL,7,5,7,3,6
S8UL,7,6,13,4,5
GHS BoooM,8,1,18,0,0
GHS BoooM,8,2,3,8,15
GHS BoooM,8,3,15,2,3
GHS BoooM,8,4,4,4,9
GHS BoooM,8,5,13,2,3
GHS BoooM,8,6,12,5,6
FURIA,9,1,6,6,9
FURIA,9,2,11,1,2
FURIA,9,3,2,8,17
FURIA,9,4,10,0,2
FURIA,9,5,17,4,4
FURIA,9,6,16,0,0
REALIZE NOVA,10,1,14,3,4
REALIZE NOVA,10,2,4,0,5
REALIZE NOVA,10,3,11,0,1
REALIZE NOVA,10,4,3,1,8
REALIZE NOVA,10,5,3,0,7
REALIZE NOVA,10,6,3,2,9
TSM,11,1,10,1,3
TSM,11,2,2,4,13
TSM,11,3,8,1,3
TSM,11,4,14,5,6
TSM,11,5,16,0,0
TSM,11,6,4,3,8
9Lies Esports,12,1,17,0,0
9Lies Esports,12,2,7,5,8
9Lies Esports,12,3,9,8,10
9Lies Esports,12,4,19,0,0
9Lies Esports,12,5,6,5,8
9Lies Esports,12,6,9,5,7
Complexity,13,1,13,1,2
Complexity,13,2,16,4,4
Complexity,13,3,5,4,8
Complexity,13,4,7,2,5
Complexity,13,5,18,1,1
Complexity,13,6,2,3,12
Natus Vincere,14,1,3,2,9
Natus Vincere,14,2,10,0,2
Natus Vincere,14,3,10,0,2
Natus Vincere,14,4,5,5,9
Natus Vincere,14,5,15,0,1
Natus Vincere,14,6,10,2,4
Aurora,15,1,15,0,1
Aurora,15,2,14,1,2
Aurora,15,3,7,0,3
Aurora,15,4,13,2,3
Aurora,15,5,10,0,2
Aurora,15,6,11,7,8
Liquid Alienware,16,1,12,0,1
Liquid Alienware,16,2,18,0,0
Liquid Alienware,16,3,19,0,0
Liquid Alienware,16,4,16,1,1
Liquid Alienware,16,5,8,2,4
Liquid Alienware,16,6,14,9,10
ENVY,17,1,5,1,5
ENVY,17,2,15,3,4
ENVY,17,3,17,3,3
ENVY,17,4,17,0,0
ENVY,17,5,11,2,3
ENVY,17,6,19,0,0
Zesty Besties,18,1,9,2,4
Zesty Besties,18,2,20,0,0
Zesty Besties,18,3,14,3,4
Zesty Besties,18,4,20,4,4
Zesty Besties,18,5,19,0,0
Zesty Besties,18,6,18,1,1
YungBlackRicky,19,1,19,0,0
YungBlackRicky,19,2,9,0,2
YungBlackRicky,19,3,20,0,0
YungBlackRicky,19,4,9,4,6
YungBlackRicky,19,5,14,1,2
YungBlackRicky,19,6,20,0,0
Monster,20,1,11,1,2
Monster,20,2,19,0,0
Monster,20,3,16,0,0
Monster,20,4,18,0,0
Monster,20,5,20,0,0
Monster,20,6,15,2,3
