Team,Rank,Game,Placement,Kills,Points
Danish,1,1,1,11,23
Danish,1,2,1,13,25
Danish,1,3,16,3,3
Danish,1,4,18,2,2
Danish,1,5,9,2,4
Danish,1,6,8,6,8
Team Nemesis,2,1,2,9,18
Team Nemesis,2,2,12,4,5
Team Nemesis,2,3,4,4,9
Team Nemesis,2,4,1,14,26
Team Nemesis,2,5,16,0,0
Team Nemesis,2,6,16,0,0
ICIGEKI,3,1,3,3,10
ICIGEKI,3,2,8,2,4
ICIGEKI,3,3,20,0,0
ICIGEKI,3,4,3,11,18
ICIGEKI,3,5,7,8,11
ICIGEKI,3,6,14,0,1
O2esports,4,1,7,8,11
O2esports,4,2,3,12,19
O2esports,4,3,12,2,3
O2esports,4,4,5,3,7
O2esports,4,5,20,0,0
O2esports,4,6,13,2,3
F9 Eicar,5,1,8,0,2
F9 Eicar,5,2,6,0,3
F9 Eicar,5,3,2,5,14
F9 Eicar,5,4,2,2,11
F9 Eicar,5,5,3,2,9
F9 Eicar,5,6,10,0,2
ROC,6,1,10,3,5
ROC,6,2,16,0,0
ROC,6,3,10,0,2
ROC,6,4,7,5,8
ROC,6,5,2,4,13
ROC,6,6,5,9,13
Rival Esports,7,1,4,7,12
Rival Esports,7,2,5,5,9
Rival Esports,7,3,17,0,0
Rival Esports,7,4,8,11,13
Rival Esports,7,5,15,0,1
Rival Esports,7,6,4,1,6
Reject Winnity,8,1,19,2,2
Reject Winnity,8,2,19,0,0
Reject Winnity,8,3,7,5,8
Reject Winnity,8,4,13,0,1
Reject Winnity,8,5,14,5,6
Reject Winnity,8,6,1,10,22
No Surrender,9,1,6,0,3
No Surrender,9,2,4,1,6
No Surrender,9,3,15,2,3
No Surrender,9,4,11,0,1
No Surrender,9,5,1,12,24
No Surrender,9,6,20,0,0
BBL,10,1,14,2,3
BBL,10,2,20,0,0
BBL,10,3,1,13,25
BBL,10,4,10,1,3
BBL,10,5,17,0,0
BBL,10,6,9,3,5
SOTEN,11,1,20,0,0
SOTEN,11,2,14,11,12
SOTEN,11,3,13,3,4
SOTEN,11,4,19,1,1
SOTEN,11,5,13,0,1
SOTEN,11,6,2,7,16
Bearclaw Gaming,12,1,5,3,7
Bearclaw Gaming,12,2,9,3,5
Bearclaw Gaming,12,3,11,1,2
Bearclaw Gaming,12,4,20,0,0
Bearclaw Gaming,12,5,6,5,8
Bearclaw Gaming,12,6,7,5,8
BacalhauV2,13,1,18,0,0
BacalhauV2,13,2,2,3,12
BacalhauV2,13,3,3,2,9
BacalhauV2,13,4,12,0,1
BacalhauV2,13,5,11,1,2
BacalhauV2,13,6,6,2,5
TAKE FLYTE,14,1,11,3,4
TAKE FLYTE,14,2,18,1,1
TAKE FLYTE,14,3,5,3,7
TAKE FLYTE,14,4,15,0,1
TAKE FLYTE,14,5,4,4,9
TAKE FLYTE,14,6,11,3,4
Vcan,15,1,17,0,0
Vcan,15,2,13,0,1
Vcan,15,3,8,5,7
Vcan,15,4,4,2,7
Vcan,15,5,10,8,10
Vcan,15,6,19,0,0
Pioneers,16,1,13,1,2
Pioneers,16,2,7,2,5
Pioneers,16,3,9,1,3
Pioneers,16,4,6,4,7
Pioneers,16,5,19,0,0
Pioneers,16,6,3,1,8
DeepCrossGaming,17,1,16,2,2
DeepCrossGaming,17,2,17,0,0
DeepCrossGaming,17,3,6,7,10
DeepCrossGaming,17,4,16,0,0
DeepCrossGaming,17,5,5,6,10
DeepCrossGaming,17,6,12,0,1
Dory,18,1,9,3,5
Dory,18,2,11,1,2
Dory,18,3,14,1,2
Dory,18,4,17,4,4
Dory,18,5,8,1,3
Dory,18,6,15,3,4
Virtue,19,1,12,1,2
Virtue,19,2,15,2,3
Virtue,19,3,18,0,0
Virtue,19,4,14,3,4
Virtue,19,5,12,1,2
Virtue,19,6,17,3,3
RIDDLE ORDER,20,1,15,0,1
RIDDLE ORDER,20,2,10,3,5
RIDDLE ORDER,20,3,19,0,0
RIDDLE ORDER,20,4,9,0,2
RIDDLE ORDER,20,5,18,1,1
RIDDLE ORDER,20,6,18,1,1
