Team,Rank,Game,Placement,Kills,Points
Falcons,1,1,1,17,29
Falcons,1,2,9,5,7
Falcons,1,3,12,4,5
Falcons,1,4,1,14,26
Falcons,1,5,1,16,28
Falcons,1,6,16,3,3
FUSION,2,1,10,3,5
FUSION,2,2,15,2,3
FUSION,2,3,2,8,17
FUSION,2,4,8,11,13
FUSION,2,5,15,0,1
FUSION,2,6,1,11,23
OMiT,3,1,8,9,11
OMiT,3,2,10,8,10
OMiT,3,3,14,7,8
OMiT,3,4,15,1,2
OMiT,3,5,6,11,14
OMiT,3,6,8,6,8
DeeSports,4,1,3,0,7
DeeSports,4,2,1,10,22
DeeSports,4,3,15,0,1
DeeSports,4,4,9,1,3
DeeSports,4,5,14,4,5
DeeSports,4,6,2,3,12
LEAVENOWITNESS,5,1,7,5,8
LEAVENOWITNESS,5,2,4,0,5
LEAVENOWITNESS,5,3,4,8,13
LEAVENOWITNESS,5,4,7,0,3
LEAVENOWITNESS,5,5,2,3,12
LEAVENOWITNESS,5,6,10,5,7
Team Orchid,6,1,11,5,6
Team Orchid,6,2,20,0,0
Team Orchid,6,3,1,10,22
Team Orchid,6,4,4,6,11
Team Orchid,6,5,16,0,0
Team Orchid,6,6,14,3,4
CCG,7,1,13,0,1
CCG,7,2,2,8,17
CCG,7,3,11,1,2
CCG,7,4,3,3,10
CCG,7,5,9,0,2
CCG,7,6,13,2,3
GaiminGladiators,8,1,2,6,15
GaiminGladiators,8,2,17,0,0
GaiminGladiators,8,3,19,0,0
GaiminGladiators,8,4,16,4,4
GaiminGladiators,8,5,8,4,6
GaiminGladiators,8,6,3,3,10
Arneb,9,1,16,3,3
Arneb,9,2,14,0,1
Arneb,9,3,3,1,8
Arneb,9,4,10,0,2
Arneb,9,5,4,3,8
Arneb,9,6,4,6,11
REIGNITE,10,1,17,2,2
REIGNITE,10,2,11,7,8
REIGNITE,10,3,7,4,7
REIGNITE,10,4,11,3,4
REIGNITE,10,5,10,4,6
REIGNITE,10,6,6,3,6
Infinite,11,1,9,0,2
Infinite,11,2,3,7,14
Infinite,11,3,18,0,0
Infinite,11,4,14,1,2
Infinite,11,5,3,5,12
Infinite,11,6,12,0,1
RRX,12,1,4,5,10
RRX,12,2,8,0,2
RRX,12,3,6,6,9
RRX,12,4,19,0,0
RRX,12,5,17,1,1
RRX,12,6,5,5,9
MFei,13,1,5,2,6
MFei,13,2,6,1,4
MFei,13,3,5,2,6
MFei,13,4,13,2,3
MFei,13,5,7,0,3
MFei,13,6,7,2,5
Reply Totem,14,1,14,0,1
Reply Totem,14,2,19,0,0
Reply Totem,14,3,8,0,2
Reply Totem,14,4,2,6,15
Reply Totem,14,5,5,3,7
Reply Totem,14,6,11,0,1
KoikeGaming,15,1,18,0,0
KoikeGaming,15,2,7,1,4
KoikeGaming,15,3,9,3,5
KoikeGaming,15,4,20,0,0
KoikeGaming,15,5,18,1,1
KoikeGaming,15,6,9,10,12
oiled thunder,16,1,6,0,3
oiled thunder,16,2,13,1,2
oiled thunder,16,3,17,0,0
oiled thunder,16,4,5,1,5
oiled thunder,16,5,11,8,9
oiled thunder,16,6,15,2,3
REDRams,17,1,12,2,3
REDRams,17,2,12,5,6
REDRams,17,3,20,0,0
REDRams,17,4,12,3,4
REDRams,17,5,19,0,0
REDRams,17,6,17,0,0
Purple Slushee,18,1,20,0,0
Purple Slushee,18,2,5,2,6
Purple Slushee,18,3,13,1,2
Purple Slushee,18,4,17,1,1
Purple Slushee,18,5,12,0,1
Purple Slushee,18,6,18,0,0
OutSide,19,1,19,0,0
OutSide,19,2,18,0,0
OutSide,19,3,10,2,4
OutSide,19,4,6,2,5
OutSide,19,5,13,0,1
OutSide,19,6,20,0,0
Bored,20,1,15,0,1
Bored,20,2,16,0,0
Bored,20,3,16,4,4
Bored,20,4,18,0,0
Bored,20,5,20,1,1
Bored,20,6,19,0,0
