Team,Rank,Game,Placement,Kills,Points
TSM,1,1,1,10,22
TSM,1,2,3,11,18
TSM,1,3,9,2,4
TSM,1,4,11,3,4
TSM,1,5,19,0,0
TSM,1,6,1,13,25
FNATIC,2,1,11,2,3
FNATIC,2,2,7,9,12
FNATIC,2,3,1,18,30
FNATIC,2,4,9,3,5
FNATIC,2,5,9,7,9
FNATIC,2,6,17,2,2
ROC,3,1,9,1,3
ROC,3,2,11,3,4
ROC,3,3,8,10,12
ROC,3,4,13,8,9
ROC,3,5,1,12,24
ROC,3,6,9,0,2
Zesty Besties,4,1,12,7,8
Zesty Besties,4,2,1,15,27
Zesty Besties,4,3,18,0,0
Zesty Besties,4,4,6,4,7
Zesty Besties,4,5,12,5,6
Zesty Besties,4,6,15,0,1
Dory,5,1,6,2,5
Dory,5,2,2,5,14
Dory,5,3,10,2,4
Dory,5,4,10,0,2
Dory,5,5,18,2,2
Dory,5,6,2,7,16
BacalhauV2,6,1,5,2,6
BacalhauV2,6,2,4,0,5
BacalhauV2,6,3,15,0,1
BacalhauV2,6,4,2,5,14
BacalhauV2,6,5,3,1,8
BacalhauV2,6,6,3,2,9
F9 Eicar,7,1,3,0,7
F9 Eicar,7,2,17,0,0
F9 Eicar,7,3,16,2,2
F9 Eicar,7,4,1,4,16
F9 Eicar,7,5,4,6,11
F9 Eicar,7,6,7,0,3
Vcan,8,1,15,0,1
Vcan,8,2,13,3,4
Vcan,8,3,2,5,14
Vcan,8,4,14,2,3
Vcan,8,5,15,4,5
Vcan,8,6,5,8,12
REALIZE NOVA,9,1,14,3,4
REALIZE NOVA,9,2,19,0,0
REALIZE NOVA,9,3,3,5,12
REALIZE NOVA,9,4,12,3,4
REALIZE NOVA,9,5,6,1,4
REALIZE NOVA,9,6,4,9,14
ENVY,10,1,2,5,14
ENVY,10,2,8,3,5
ENVY,10,3,7,4,7
ENVY,10,4,16,5,5
ENVY,10,5,8,3,5
ENVY,10,6,18,1,1
TIE,11,1,10,5,7
TIE,11,2,10,0,2
TIE,11,3,4,1,6
TIE,11,4,19,0,0
TIE,11,5,2,8,17
TIE,11,6,14,2,3
Forbidden,12,1,13,2,3
Forbidden,12,2,16,3,3
Forbidden,12,3,11,6,7
Forbidden,12,4,7,4,7
Forbidden,12,5,5,4,8
Forbidden,12,6,11,3,4
Nibble Africa,13,1,7,4,7
Nibble Africa,13,2,15,0,1
Nibble Africa,13,3,5,4,8
Nibble Africa,13,4,4,5,10
Nibble Africa,13,5,10,1,3
Nibble Africa,13,6,19,0,0
Source Gaming,14,1,17,0,0
Source Gaming,14,2,9,0,2
Source Gaming,14,3,14,1,2
Source Gaming,14,4,3,4,11
Source Gaming,14,5,7,1,4
Source Gaming,14,6,16,3,3
Kakkoii,15,1,8,4,6
Kakkoii,15,2,5,0,4
Kakkoii,15,3,19,0,0
Kakkoii,15,4,18,2,2
Kakkoii,15,5,11,1,2
Kakkoii,15,6,6,4,7
HAO,16,1,4,4,9
HAO,16,2,12,2,3
HAO,16,3,12,0,1
HAO,16,4,8,0,2
HAO,16,5,14,0,1
HAO,16,6,8,2,4
ATLAS,17,1,16,3,3
ATLAS,17,2,6,1,4
ATLAS,17,3,13,1,2
ATLAS,17,4,5,0,4
ATLAS,17,5,17,0,0
ATLAS,17,6,12,3,4
Pensioners,18,1,19,0,0
Pensioners,18,2,18,0,0
Pensioners,18,3,6,0,3
Pensioners,18,4,15,1,2
Pensioners,18,5,16,0,0
Pensioners,18,6,13,0,1
Banh Mi,19,1,18,0,0
Banh Mi,19,2,14,0,1
Banh Mi,19,3,17,0,0
Banh Mi,19,4,17,1,1
Banh Mi,19,5,13,0,1
Banh Mi,19,6,10,1,3
