Team,Rank,Game,Placement,Kills,Points
Green Stego,1,1,6,10,13
Green Stego,1,2,8,4,6
Green Stego,1,3,14,3,4
Green Stego,1,4,15,4,5
Green Stego,1,5,5,5,9
Green Stego,1,6,1,20,32
Meteor,2,1,7,4,7
Meteor,2,2,4,8,13
Meteor,2,3,8,4,6
Meteor,2,4,12,3,4
Meteor,2,5,2,3,12
Meteor,2,6,3,3,10
VVV,3,1,10,7,9
VVV,3,2,10,3,5
VVV,3,3,1,5,17
VVV,3,4,4,1,6
VVV,3,5,3,5,12
VVV,3,6,14,1,2
BABO,4,1,17,0,0
BABO,4,2,11,0,1
BABO,4,3,3,8,15
BABO,4,4,1,16,28
BABO,4,5,18,0,0
BABO,4,6,11,3,4
Alqadsiah,5,1,2,2,11
Alqadsiah,5,2,3,8,15
Alqadsiah,5,3,2,3,12
Alqadsiah,5,4,8,2,4
Alqadsiah,5,5,15,4,5
Alqadsiah,5,6,12,0,1
Lonely Let Gone,6,1,1,15,27
Lonely Let Gone,6,2,20,1,1
Lonely Let Gone,6,3,12,7,8
Lonely Let Gone,6,4,14,1,2
Lonely Let Gone,6,5,14,6,7
Lonely Let Gone,6,6,19,0,0
1OK,7,1,3,2,9
1OK,7,2,18,0,0
1OK,7,3,7,3,6
1OK,7,4,3,7,14
1OK,7,5,13,0,1
1OK,7,6,2,6,15
100 Thieves,8,1,11,2,3
100 Thieves,8,2,17,6,6
100 Thieves,8,3,9,3,5
100 Thieves,8,4,2,3,12
100 Thieves,8,5,7,8,11
100 Thieves,8,6,10,1,3
KINOTROPE gaming,9,1,5,0,4
KINOTROPE gaming,9,2,2,9,18
KINOTROPE gaming,9,3,4,4,9
KINOTROPE gaming,9,4,17,0,0
KINOTROPE gaming,9,5,11,2,3
KINOTROPE gaming,9,6,13,1,2
CAT,10,1,15,2,3
CAT,10,2,12,2,3
CAT,10,3,16,3,3
CAT,10,4,10,3,5
CAT,10,5,1,8,20
CAT,10,6,15,0,1
Falcons,11,1,18,0,0
Falcons,11,2,13,5,6
Falcons,11,3,13,2,3
Falcons,11,4,16,1,1
Falcons,11,5,4,7,12
Falcons,11,6,4,6,11
GaiminGladiators,12,1,14,1,2
GaiminGladiators,12,2,9,2,4
GaiminGladiators,12,3,11,1,2
GaiminGladiators,12,4,7,6,9
GaiminGladiators,12,5,10,2,4
GaiminGladiators,12,6,7,4,7
FUSION,13,1,4,4,9
FUSION,13,2,7,3,6
FUSION,13,3,18,0,0
FUSION,13,4,6,1,4
FUSION,13,5,12,2,3
FUSION,13,6,5,1,5
CCG,14,1,20,0,0
CCG,14,2,1,3,15
CCG,14,3,5,1,5
CCG,14,4,11,3,4
CCG,14,5,17,0,0
CCG,14,6,8,0,2
Purple Slushee,15,1,9,1,3
Purple Slushee,15,2,15,2,3
Purple Slushee,15,3,10,1,3
Purple Slushee,15,4,5,5,9
Purple Slushee,15,5,8,3,5
Purple Slushee,15,6,17,3,3
Team Orchid,16,1,12,6,7
Team Orchid,16,2,19,0,0
Team Orchid,16,3,20,0,0
Team Orchid,16,4,9,5,7
Team Orchid,16,5,9,0,2
Team Orchid,16,6,6,5,8
OMiT,17,1,8,3,5
OMiT,17,2,14,1,2
OMiT,17,3,6,6,9
OMiT,17,4,18,3,3
OMiT,17,5,20,0,0
OMiT,17,6,9,2,4
REIGNITE,18,1,19,0,0
REIGNITE,18,2,5,0,4
REIGNITE,18,3,17,0,0
REIGNITE,18,4,20,1,1
REIGNITE,18,5,6,4,7
REIGNITE,18,6,18,1,1
REDRams,19,1,13,0,1
REDRams,19,2,16,2,2
REDRams,19,3,19,0,0
REDRams,19,4,19,1,1
REDRams,19,5,19,3,3
REDRams,19,6,16,2,2
Arneb,20,1,16,0,0
Arneb,20,2,6,0,3
Arneb,20,3,15,0,1
Arneb,20,4,13,0,1
Arneb,20,5,16,0,0
Arneb,20,6,20,0,0
