Team,Rank,Game,Placement,Kills,Points
VG,1,1,1,14,26
VG,1,2,4,8,13
VG,1,3,1,6,18
VG,1,4,1,9,21
VG,1,5,1,6,18
VG,1,6,3,3,10
Annex eSports,2,1,12,1,2
Annex eSports,2,2,8,0,2
Annex eSports,2,3,2,6,15
Annex eSports,2,4,20,0,0
Annex eSports,2,5,16,4,4
Annex eSports,2,6,1,9,21
Ronin,3,1,14,3,4
Ronin,3,2,13,7,8
Ronin,3,3,8,6,8
Ronin,3,4,19,0,0
Ronin,3,5,6,15,18
Ronin,3,6,19,3,3
DOOM,4,1,4,4,9
DOOM,4,2,14,1,2
DOOM,4,3,14,0,1
DOOM,4,4,17,0,0
DOOM,4,5,5,3,7
DOOM,4,6,2,12,21
Unreal Nightmare,5,1,6,4,7
Unreal Nightmare,5,2,1,10,22
Unreal Nightmare,5,3,12,3,4
Unreal Nightmare,5,4,16,1,1
Unreal Nightmare,5,5,19,0,0
Unreal Nightmare,5,6,12,2,3
geeked vs locked,6,1,17,0,0
geeked vs locked,6,2,16,0,0
geeked vs locked,6,3,17,2,2
geeked vs locked,6,4,4,6,11
geeked vs locked,6,5,3,12,19
geeked vs locked,6,6,15,4,5
7T,7,1,3,3,10
7T,7,2,5,2,6
7T,7,3,9,3,5
7T,7,4,12,0,1
7T,7,5,2,5,14
7T,7,6,16,1,1
TEMPR,8,1,19,1,1
TEMPR,8,2,19,0,0
TEMPR,8,3,5,9,13
TEMPR,8,4,2,7,16
TEMPR,8,5,14,0,1
TEMPR,8,6,5,1,5
Gamblers,9,1,9,4,6
Gamblers,9,2,3,5,12
Gamblers,9,3,18,1,1
Gamblers,9,4,6,2,5
Gamblers,9,5,8,6,8
Gamblers,9,6,10,2,4
ENTER FORCE.36,10,1,11,7,8
ENTER FORCE.36,10,2,7,2,5
ENTER FORCE.36,10,3,15,3,4
ENTER FORCE.36,10,4,10,3,5
ENTER FORCE.36,10,5,11,8,9
ENTER FORCE.36,10,6,6,2,5
eternal,11,1,5,1,5
eternal,11,2,18,4,4
eternal,11,3,16,5,5
eternal,11,4,7,9,12
eternal,11,5,12,2,3
eternal,11,6,4,1,6
VCGO,12,1,15,1,2
VCGO,12,2,2,7,16
VCGO,12,3,7,5,8
VCGO,12,4,13,0,1
VCGO,12,5,4,1,6
VCGO,12,6,14,0,1
GUPPED UP,13,1,2,4,13
GUPPED UP,13,2,11,4,5
GUPPED UP,13,3,4,2,7
GUPPED UP,13,4,15,2,3
GUPPED UP,13,5,20,0,0
GUPPED UP,13,6,7,2,5
Specter Esports,14,1,8,6,8
Specter Esports,14,2,20,0,0
Specter Esports,14,3,3,1,8
Specter Esports,14,4,3,2,9
Specter Esports,14,5,15,0,1
Specter Esports,14,6,13,3,4
Zero Tenacity,15,1,7,7,10
Zero Tenacity,15,2,15,1,2
Zero Tenacity,15,3,13,3,4
Zero Tenacity,15,4,9,4,6
Zero Tenacity,15,5,10,0,2
Zero Tenacity,15,6,11,2,3
Remarkable Team,16,1,13,2,3
Remarkable Team,16,2,10,6,8
Remarkable Team,16,3,19,0,0
Remarkable Team,16,4,5,4,8
Remarkable Team,16,5,9,0,2
Remarkable Team,16,6,18,4,4
CrazyRaccoon,17,1,10,6,8
CrazyRaccoon,17,2,12,0,1
CrazyRaccoon,17,3,6,6,9
CrazyRaccoon,17,4,8,4,6
CrazyRaccoon,17,5,18,0,0
CrazyRaccoon,17,6,20,0,0
CIMJ,18,1,16,2,2
CIMJ,18,2,6,0,3
CIMJ,18,3,10,1,3
CIMJ,18,4,11,3,4
CIMJ,18,5,7,0,3
CIMJ,18,6,8,0,2
SJP2,19,1,18,0,0
SJP2,19,2,17,1,1
SJP2,19,3,11,2,3
SJP2,19,4,14,1,2
SJP2,19,5,17,3,3
SJP2,19,6,9,5,7
CTE,20,1,20,0,0
CTE,20,2,9,2,4
CTE,20,3,20,0,0
CTE,20,4,18,0,0
CTE,20,5,13,5,6
CTE,20,6,17,4,4
