Team,Rank,Game,Placement,Kills,Points
GHS BoooM,1,1,18,2,2
GHS BoooM,1,2,1,19,31
GHS BoooM,1,3,15,0,1
GHS BoooM,1,4,1,9,21
GHS BoooM,1,5,14,0,1
GHS BoooM,1,6,1,7,19
9Lies Esports,2,1,17,2,2
9Lies Esports,2,2,3,10,17
9Lies Esports,2,3,4,12,17
9Lies Esports,2,4,4,3,8
9Lies Esports,2,5,15,10,11
9Lies Esports,2,6,7,4,7
TSM,3,1,1,12,24
TSM,3,2,2,5,14
TSM,3,3,11,2,3
TSM,3,4,3,2,9
TSM,3,5,13,1,2
TSM,3,6,10,0,2
ENVY,4,1,11,0,1
ENVY,4,2,9,3,5
ENVY,4,3,3,6,13
ENVY,4,4,7,2,5
ENVY,4,5,9,8,10
ENVY,4,6,2,11,20
Aurora,5,1,7,5,8
Aurora,5,2,15,0,1
Aurora,5,3,7,9,12
Aurora,5,4,19,0,0
Aurora,5,5,1,14,26
Aurora,5,6,11,3,4
FNATIC,6,1,2,7,16
FNATIC,6,2,20,0,0
FNATIC,6,3,12,0,1
FNATIC,6,4,2,11,20
FNATIC,6,5,10,0,2
FNATIC,6,6,9,5,7
Complexity,7,1,4,2,7
Complexity,7,2,17,5,5
Complexity,7,3,5,6,10
Complexity,7,4,17,3,3
Complexity,7,5,5,4,8
Complexity,7,6,8,8,10
Alliance,8,1,12,3,4
Alliance,8,2,4,6,11
Alliance,8,3,2,7,16
Alliance,8,4,20,0,0
Alliance,8,5,19,0,0
Alliance,8,6,4,5,10
Zesty Besties,9,1,10,2,4
Zesty Besties,9,2,6,4,7
Zesty Besties,9,3,18,2,2
Zesty Besties,9,4,9,2,4
Zesty Besties,9,5,6,9,12
Zesty Besties,9,6,5,5,9
REALIZE NOVA,10,1,8,0,2
REALIZE NOVA,10,2,10,1,3
REALIZE NOVA,10,3,1,8,20
REALIZE NOVA,10,4,13,2,3
REALIZE NOVA,10,5,7,0,3
REALIZE NOVA,10,6,15,0,1
BacalhauV2,11,1,6,1,4
BacalhauV2,11,2,7,0,3
BacalhauV2,11,3,13,0,1
BacalhauV2,11,4,16,2,2
BacalhauV2,11,5,2,5,14
BacalhauV2,11,6,3,1,8
Rival Esports,12,1,3,7,14
Rival Esports,12,2,13,2,3
Rival Esports,12,3,16,0,0
Rival Esports,12,4,6,4,7
Rival Esports,12,5,12,0,1
Rival Esports,12,6,16,0,0
ROC,13,1,9,7,9
ROC,13,2,18,0,0
ROC,13,3,10,0,2
ROC,13,4,10,4,6
ROC,13,5,11,2,3
ROC,13,6,13,3,4
DeepCrossGaming,14,1,15,0,1
DeepCrossGaming,14,2,5,3,7
DeepCrossGaming,14,3,14,1,2
DeepCrossGaming,14,4,14,3,4
DeepCrossGaming,14,5,20,0,0
DeepCrossGaming,14,6,6,5,8
Vcan,15,1,19,0,0
Vcan,15,2,11,1,2
Vcan,15,3,19,0,0
Vcan,15,4,12,3,4
Vcan,15,5,3,2,9
Vcan,15,6,12,1,2
TAKE FLYTE,16,1,20,0,0
TAKE FLYTE,16,2,12,0,1
TAKE FLYTE,16,3,6,5,8
TAKE FLYTE,16,4,15,0,1
TAKE FLYTE,16,5,8,5,7
TAKE FLYTE,16,6,19,0,0
F9 Eicar,17,1,5,0,4
F9 Eicar,17,2,19,0,0
F9 Eicar,17,3,8,0,2
F9 Eicar,17,4,8,1,3
F9 Eicar,17,5,4,0,5
F9 Eicar,17,6,14,1,2
Dory,18,1,14,3,4
Dory,18,2,8,2,4
Dory,18,3,20,0,0
Dory,18,4,5,2,6
Dory,18,5,17,0,0
Dory,18,6,18,0,0
ICIGEKI,19,1,16,3,3
ICIGEKI,19,2,14,0,1
ICIGEKI,19,3,9,0,2
ICIGEKI,19,4,18,2,2
ICIGEKI,19,5,16,0,0
ICIGEKI,19,6,20,0,0
Bearclaw Gaming,20,1,13,3,4
Bearclaw Gaming,20,2,16,0,0
Bearclaw Gaming,20,3,17,0,0
Bearclaw Gaming,20,4,11,2,3
Bearclaw Gaming,20,5,18,0,0
Bearclaw Gaming,20,6,17,0,0
