Team,Rank,Game,Placement,Kills,Points
Forbidden,1,1,12,3,4
Forbidden,1,2,3,4,11
Forbidden,1,3,6,5,8
Forbidden,1,4,7,2,5
Forbidden,1,5,1,20,32
Forbidden,1,6,2,5,14
Source Gaming,2,1,1,10,22
Source Gaming,2,2,5,7,11
Source Gaming,2,3,7,4,7
Source Gaming,2,4,15,1,2
Source Gaming,2,5,12,5,6
Source Gaming,2,6,1,6,18
Corinthians E.,3,1,18,0,0
Corinthians E.,3,2,2,8,17
Corinthians E.,3,3,9,5,7
Corinthians E.,3,4,5,10,14
Corinthians E.,3,5,14,1,2
Corinthians E.,3,6,5,17,21
MOVISTAR KOI,4,1,9,6,8
MOVISTAR KOI,4,2,1,18,30
MOVISTAR KOI,4,3,10,8,10
MOVISTAR KOI,4,4,11,6,7
MOVISTAR KOI,4,5,18,0,0
MOVISTAR KOI,4,6,8,3,5
MetaTensei,5,1,15,1,2
MetaTensei,5,2,14,0,1
MetaTensei,5,3,1,4,16
MetaTensei,5,4,1,5,17
MetaTensei,5,5,2,3,12
MetaTensei,5,6,3,0,7
ATLAS,6,1,7,4,7
ATLAS,6,2,8,2,4
ATLAS,6,3,14,0,1
ATLAS,6,4,3,5,12
ATLAS,6,5,6,4,7
ATLAS,6,6,4,4,9
Rukus,7,1,2,2,11
Rukus,7,2,15,2,3
Rukus,7,3,5,2,6
Rukus,7,4,9,2,4
Rukus,7,5,4,6,11
Rukus,7,6,7,1,4
BPR,8,1,14,1,2
BPR,8,2,11,4,5
BPR,8,3,2,11,20
BPR,8,4,14,4,5
BPR,8,5,15,0,1
BPR,8,6,11,3,4
Kakkoii,9,1,13,5,6
Kakkoii,9,2,6,7,10
Kakkoii,9,3,11,3,4
Kakkoii,9,4,12,3,4
Kakkoii,9,5,16,5,5
Kakkoii,9,6,15,3,4
HAO,10,1,17,0,0
HAO,10,2,7,0,3
HAO,10,3,3,7,14
HAO,10,4,6,3,6
HAO,10,5,8,0,2
HAO,10,6,6,4,7
TIE,11,1,10,1,3
TIE,11,2,12,0,1
TIE,11,3,15,0,1
TIE,11,4,2,11,20
TIE,11,5,7,1,4
TIE,11,6,12,0,1
LICS ONIRIA,12,1,16,0,0
LICS ONIRIA,12,2,10,0,2
LICS ONIRIA,12,3,8,4,6
LICS ONIRIA,12,4,4,4,9
LICS ONIRIA,12,5,9,2,4
LICS ONIRIA,12,6,14,7,8
talented,13,1,3,5,12
talented,13,2,17,1,1
talented,13,3,17,0,0
talented,13,4,8,2,4
talented,13,5,3,1,8
talented,13,6,9,0,2
FC logic,14,1,4,7,12
FC logic,14,2,4,0,5
FC logic,14,3,13,0,1
FC logic,14,4,17,0,0
FC logic,14,5,5,3,7
FC logic,14,6,10,0,2
Pensioners,15,1,5,2,6
Pensioners,15,2,16,0,0
Pensioners,15,3,4,2,7
Pensioners,15,4,10,3,5
Pensioners,15,5,17,0,0
Pensioners,15,6,13,0,1
Nibble Africa,16,1,6,3,6
Nibble Africa,16,2,13,1,2
Nibble Africa,16,3,16,0,0
Nibble Africa,16,4,16,0,0
Nibble Africa,16,5,10,2,4
Nibble Africa,16,6,17,2,2
TEQWING,17,1,8,0,2
TEQWING,17,2,9,0,2
TEQWING,17,3,12,0,1
TEQWING,17,4,13,0,1
TEQWING,17,5,13,1,2
TEQWING,17,6,16,0,0
Banh Mi,18,1,11,2,3
Banh Mi,18,2,18,0,0
Banh Mi,18,3,18,0,0
Banh Mi,18,4,18,0,0
Banh Mi,18,5,11,0,1
Banh Mi,18,6,18,0,0
