Team,Rank,Game,Placement,Kills,Points
Team Falcons,1,1,5,2,6
Team Falcons,1,2,8,0,1
Team Falcons,1,3,4,3,8
Team Falcons,1,4,4,4,9
Team Falcons,1,5,5,1,5
Team Falcons,1,6,2,10,19
Team Falcons,1,7,2,10,19
Team Falcons,1,8,1,8,20
Noctem,2,1,20,0,0
Noctem,2,2,4,3,8
Noctem,2,3,6,0,3
Noctem,2,4,6,0,3
Noctem,2,5,1,10,22
Noctem,2,6,8,0,1
Noctem,2,7,1,12,24
Noctem,2,8,3,3,10
Virtus.pro,3,1,4,3,8
Virtus.pro,3,2,8,0,1
Virtus.pro,3,3,2,7,16
Virtus.pro,3,4,3,6,13
Virtus.pro,3,5,4,3,8
Virtus.pro,3,6,4,2,7
Virtus.pro,3,7,8,0,1
Virtus.pro,3,8,4,4,9
Envy,4,1,3,3,10
Envy,4,2,1,11,23
Envy,4,3,6,1,4
Envy,4,4,6,1,4
Envy,4,5,20,0,0
Envy,4,6,6,0,3
Envy,4,7,6,0,3
Envy,4,8,6,0,3
VK GAMING,5,1,4,2,7
VK GAMING,5,2,3,3,10
VK GAMING,5,3,3,4,11
VK GAMING,5,4,3,5,12
VK GAMING,5,5,5,1,5
VK GAMING,5,6,20,0,0
VK GAMING,5,7,20,0,0
VK GAMING,5,8,5,1,5
Team Burger,6,1,6,1,4
Team Burger,6,2,5,1,5
Team Burger,6,3,6,0,3
Team Burger,6,4,5,1,5
Team Burger,6,5,6,1,4
Team Burger,6,6,2,10,19
Team Burger,6,7,5,1,5
Team Burger,6,8,20,0,0
Complexity,7,1,8,0,1
Complexity,7,2,5,2,6
Complexity,7,3,8,0,1
Complexity,7,4,3,3,10
Complexity,7,5,3,3,10
Complexity,7,6,7,0,2
Complexity,7,7,4,3,8
Complexity,7,8,4,2,7
FNATIC,8,1,20,0,0
FNATIC,8,2,6,1,4
FNATIC,8,3,20,0,0
FNATIC,8,4,1,12,24
FNATIC,8,5,8,0,1
FNATIC,8,6,3,5,12
FNATIC,8,7,20,0,0
FNATIC,8,8,6,0,3
Exo Clan,9,1,2,8,17
Exo Clan,9,2,4,4,9
Exo Clan,9,3,6,0,3
Exo Clan,9,4,20,0,0
Exo Clan,9,5,20,0,0
Exo Clan,9,6,5,2,6
Exo Clan,9,7,5,2,6
Exo Clan,9,8,6,0,3
LG,10,1,20,0,0
LG,10,2,8,0,1
LG,10,3,1,9,21
LG,10,4,7,0,2
LG,10,5,5,2,6
LG,10,6,7,0,2
LG,10,7,4,4,9
LG,10,8,7,0,2
100 Thieves,11,1,2,10,19
100 Thieves,11,2,7,0,2
100 Thieves,11,3,20,0,0
100 Thieves,11,4,20,0,0
100 Thieves,11,5,8,0,1
100 Thieves,11,6,20,0,0
100 Thieves,11,7,20,0,0
100 Thieves,11,8,1,8,20
GHS Professional,12,1,2,8,17
GHS Professional,12,2,4,2,7
GHS Professional,12,3,8,0,1
GHS Professional,12,4,8,0,1
GHS Professional,12,5,6,0,3
GHS Professional,12,6,8,0,1
GHS Professional,12,7,8,0,1
GHS Professional,12,8,3,3,10
GREEN STEGO,13,1,7,0,2
GREEN STEGO,13,2,3,6,13
GREEN STEGO,13,3,6,0,3
GREEN STEGO,13,4,5,1,5
GREEN STEGO,13,5,6,0,3
GREEN STEGO,13,6,6,1,4
GREEN STEGO,13,7,4,4,9
GREEN STEGO,13,8,20,0,0
OrglessAndHungry,14,1,8,0,1
OrglessAndHungry,14,2,6,0,3
OrglessAndHungry,14,3,5,2,6
OrglessAndHungry,14,4,5,1,5
OrglessAndHungry,14,5,3,7,14
OrglessAndHungry,14,6,5,1,5
OrglessAndHungry,14,7,6,0,3
OrglessAndHungry,14,8,20,0,0
Zero Tenacity,15,1,6,0,3
Zero Tenacity,15,2,20,0,0
Zero Tenacity,15,3,6,0,3
Zero Tenacity,15,4,20,0,0
Zero Tenacity,15,5,8,0,1
Zero Tenacity,15,6,3,6,13
Zero Tenacity,15,7,3,3,10
Zero Tenacity,15,8,5,1,5
Cloud9,16,1,6,0,3
Cloud9,16,2,6,0,3
Cloud9,16,3,8,0,1
Cloud9,16,4,3,6,13
Cloud9,16,5,4,2,7
Cloud9,16,6,6,0,3
Cloud9,16,7,6,0,3
Cloud9,16,8,20,0,0
CRAZY RACCOON,17,1,6,1,4
CRAZY RACCOON,17,2,6,0,3
CRAZY RACCOON,17,3,20,0,0
CRAZY RACCOON,17,4,8,0,1
CRAZY RACCOON,17,5,4,3,8
CRAZY RACCOON,17,6,6,0,3
CRAZY RACCOON,17,7,5,1,5
CRAZY RACCOON,17,8,4,2,7
DRAGONS,18,1,6,1,4
DRAGONS,18,2,6,0,3
DRAGONS,18,3,3,3,10
DRAGONS,18,4,5,2,6
DRAGONS,18,5,7,0,2
DRAGONS,18,6,6,1,4
DRAGONS,18,7,20,0,0
DRAGONS,18,8,20,0,0
FaZe Clan,19,1,5,2,6
FaZe Clan,19,2,7,0,2
FaZe Clan,19,3,4,2,7
FaZe Clan,19,4,7,0,2
FaZe Clan,19,5,7,0,2
FaZe Clan,19,6,20,0,0
FaZe Clan,19,7,6,0,3
FaZe Clan,19,8,4,2,7
disguised,20,1,20,0,0
disguised,20,2,3,3,10
disguised,20,3,4,4,9
disguised,20,4,20,0,0
disguised,20,5,6,0,3
disguised,20,6,8,0,1
disguised,20,7,7,0,2
disguised,20,8,6,0,3
